COMPETENCIA;CODIGO_OPERADORA;RAZAO_SOCIAL;SITUACAO_OPERADORA;VALOR_PAGO_ACUMULADO;VALOR_PARCELADO_ACUMULADO;VALOR_COBRADO_ACUMULADO;INDICE_ADIMPLENCIA
"2020/02";"406708";"A.P.S Assistência Personalizada À Saúde Ltda";"Ativa";300130,29;0,00;307561,54;"97.58%"
"2020/02";"314668";"Abertta Saúde - Associação Beneficente Dos Empregados Da Arcelormittal No Brasil";"Ativa";1662907,56;33664,10;1696571,66;"100.00%"
"2020/02";"335657";"Advance Planos De Saúde Ltda";"Ativa";1264853,07;0,00;1364533,91;"92.69%"
"2020/02";"339601";"Agemed Saúde S.A.";"Ativa";227548,87;638232,13;14017006,12;"6.18%"
"2020/02";"368920";"Agros - Instituto Ufv De Seguridade Social";"Ativa";1615989,91;0,00;1615989,91;"100.00%"
"2020/02";"416975";"Alcance Saúde Ltda.";"Ativa";0,00;0,00;37986,26;"0.00%"
"2020/02";"000515";"Allianz Saúde S/A";"Ativa";8096854,14;0,00;9248868,00;"87.54%"
"2020/02";"344800";"Alvorecer - Associação De Socorros Mútuos";"Ativa";114570,33;1500631,28;1725723,67;"93.60%"
"2020/02";"416894";"Amazonas Distribuidora De Energia S/A";"Ativa";521873,29;0,00;546847,75;"95.43%"
"2020/02";"419052";"Amazônia Planos De Saúde Ltda";"Ativa";118552,45;0,00;118552,45;"100.00%"
"2020/02";"401196";"Ame Planos De Saúde Ltda";"Ativa";1003042,24;408130,64;1419058,06;"99.44%"
"2020/02";"304531";"Ame-Assistência Médica A Empresas Ltda";"Ativa";3323,31;1024616,68;1339233,34;"76.76%"
"2020/02";"409464";"Ameno Assistência Médica Ltda.";"Ativa";15729,04;331113,66;2042370,59;"16.98%"
"2020/02";"413330";"Amep Freguesia Operadora De Plano De Saude Ltda";"Ativa";1355771,87;868618,36;2224390,23;"100.00%"
"2020/02";"394734";"Ameplan Assistência Médica Planejada Ltda";"Ativa";91560,01;31078596,60;35433702,32;"87.97%"
"2020/02";"321338";"Ameron - Assistência Médica Rondônia S/A.";"Ativa";130426,45;2868827,23;3619162,75;"82.87%"
"2020/02";"401081";"Amesc - Associação Médica Espírita Cristã";"Ativa";2258882,72;4294942,06;7366725,98;"88.97%"
"2020/02";"418587";"Amha Saude S/A";"Ativa";487816,67;12716,68;500533,35;"100.00%"
"2020/02";"328332";"Ami - Assistência Médica Infantil Ltda";"Ativa";54137,91;85336,06;774775,04;"18.00%"
"2020/02";"326305";"Amil Assistência Médica Internacional S.A.";"Ativa";368498231,59;0,00;375443617,03;"98.15%"
"2020/02";"325465";"Ampara Assistência Médica Paraíso Ltda";"Ativa";260605,39;513585,23;1323279,22;"58.51%"
"2020/02";"407704";"Araça Planos De Saúde Ltda.";"Ativa";0,00;0,00;316643,11;"0.00%"
"2020/02";"416070";"Arcelormittal Brasil S/A";"Ativa";396228,09;0,00;396228,09;"100.00%"
"2020/02";"325236";"Assistência Médica São Miguel Ltda";"Ativa";341902,13;4253052,36;4754714,78;"96.64%"
"2020/02";"409634";"Associacao Civil Pró-Saúde Dos Servidores Da Universidade Estadual De Ponta Grossa";"Ativa";68951,90;0,00;68951,90;"100.00%"
"2020/02";"360783";"Associacao De Saude Holambra";"Ativa";4261,28;0,00;11521,84;"36.98%"
"2020/02";"343129";"Associacao Dos Professores Universitários Da Bahia";"Ativa";565266,85;0,00;1036483,09;"54.54%"
"2020/02";"420093";"Associacao Dos Servidores Da Emdagro - Assem";"Ativa";12567,72;0,00;12567,72;"100.00%"
"2020/02";"406635";"Associacao Policial De Assistencia A Saude De Itapetininga";"Ativa";365814,52;0,00;365814,52;"100.00%"
"2020/02";"410608";"Associacao Policial De Assistencia A Saude De Presidente Prudente (Apas)";"Ativa";759181,56;0,00;759181,56;"100.00%"
"2020/02";"417599";"Associaçao Dos Funcionarios Publicos Do Estado Do Rio Grande Do Sul";"Ativa";53028,69;10331345,98;12239867,60;"84.84%"
"2020/02";"333867";"Associaçao Unisaude Marau";"Ativa";1791653,13;0,00;1830697,34;"97.87%"
"2020/02";"406554";"Associação Adventista Norte Brasileira De Prevenção E Assistência A Saúde";"Ativa";604130,48;177838,47;888135,45;"88.05%"
"2020/02";"411752";"Associação Assistencial De Saúde Suplementar Cruz Azul Saúde";"Ativa";15520428,74;192007,76;15907634,71;"98.77%"
"2020/02";"340146";"Associação Auxiliadora Das Classes Laboriosas";"Ativa";655221,98;725447,43;9980469,84;"13.83%"
"2020/02";"322326";"Associação Beneficente Católica";"Ativa";178191,71;47056,61;1412568,00;"15.95%"
"2020/02";"304131";"Associação Beneficente De Assistência A Saúde Dos Juízes Do Trabalho Da 15ª Região (Abas 15)";"Ativa";74713,99;0,00;74713,99;"100.00%"
"2020/02";"382540";"Associação Beneficente Dos Professores Públicos Ativos E Inativos Do Rio De Janeiro - Appai";"Ativa";0,00;0,00;9347,68;"0.00%"
"2020/02";"415049";"Associação Beneficente Fnv";"Ativa";671282,29;0,00;671282,29;"100.00%"
"2020/02";"338915";"Associação Brasileira Dos Empregados Em Telecomunicações";"Ativa";2265279,12;1256548,50;4028495,11;"87.42%"
"2020/02";"417947";"Associação Da Santa Casa Saúde De Ribeirão Preto";"Ativa";226522,99;2097515,68;4221015,44;"55.06%"
"2020/02";"417955";"Associação De Assistência Médico Hospitalar Dos Magistrados Do Estado Do Paraná";"Ativa";9158,74;0,00;9158,74;"100.00%"
"2020/02";"416690";"Associação De Assistência À Saúde Da Amagis";"Ativa";263334,14;0,00;263334,14;"100.00%"
"2020/02";"416568";"Associação De Assistência À Saúde Dos Empregados Da Copasa";"Ativa";5474234,31;0,00;5806480,63;"94.28%"
"2020/02";"314218";"Associação De Beneficência E Filantropia São Cristovão";"Ativa";1353246,42;9629051,23;13236416,25;"82.97%"
"2020/02";"357910";"Associação De Saude Dos Policiais E Bombeiros Militares Do Espirito Santo";"Ativa";640931,92;3079415,06;6061869,54;"61.37%"
"2020/02";"418731";"Associação De Saúde Dos Fornecedores De Cana De Piracicaba E Região";"Ativa";574020,24;0,00;574020,24;"100.00%"
"2020/02";"417530";"Associação De Saúde Portuguesa De Beneficência";"Ativa";186566,40;12695358,63;15121903,98;"85.19%"
"2020/02";"393533";"Associação Do Fisco De Alagoas";"Ativa";60767,78;32422,17;182415,78;"51.09%"
"2020/02";"420000";"Associação Do Plano De Saúde Da Santa Casa De Misericórdia De Itabuna - Plansul";"Ativa";452,25;32021,78;32474,03;"100.00%"
"2020/02";"418021";"Associação Do Plano De Saúde Da Santa Casa De Santos";"Ativa";2629,39;3029632,84;4080098,94;"74.32%"
"2020/02";"317632";"Associação Dos Agentes Fiscais De Rendas Do Estado De São Paulo- Afresp";"Ativa";1283697,37;0,00;1283697,37;"100.00%"
"2020/02";"387185";"Associação Dos Auditores Fiscais Da Receita Estadual Do Rio De Janeiro";"Ativa";20880,76;0,00;22051,49;"94.69%"
"2020/02";"330281";"Associação Dos Auditores Fiscais Do Estado Da Paraíba - Afrafep";"Ativa";276522,01;0,00;276522,01;"100.00%"
"2020/02";"384704";"Associação Dos Empregados Da Companhia Estadual De Habitação E Obras Públicas - Assec";"Ativa";81341,39;2497,02;104752,80;"80.03%"
"2020/02";"382639";"Associação Dos Fiscais De Tributos Estaduais Do Rs - Afisvec";"Ativa";139155,36;0,00;139155,36;"100.00%"
"2020/02";"306754";"Associação Dos Funcionários Do Fisco Do Estado De Goiás";"Ativa";187300,14;111656,52;301944,34;"99.01%"
"2020/02";"388092";"Associação Dos Funcionários Fiscais Do Estado Do Amazonas - Affeam";"Ativa";35396,86;0,00;35396,86;"100.00%"
"2020/02";"394271";"Associação Dos Funcionários Públicos Do Espírito Santo";"Ativa";17970,68;1289,79;4845936,65;"0.40%"
"2020/02";"335754";"Associação Dos Servidores Fiscais Do Estado Da Bahia";"Ativa";282667,21;0,00;282667,21;"100.00%"
"2020/02";"309028";"Associação Dos Servidores Municipais, Estaduais E Federais Do Rio De Janeiro";"Ativa";0,00;0,00;428444,88;"0.00%"
"2020/02";"419591";"Associação Dos Servidores Públicos Da Administração Direta Do Governo Do Estado Do Pará - Aspará";"Ativa";779,35;0,00;779,35;"100.00%"
"2020/02";"342556";"Associação Dr. Bartholomeu Tacchini";"Ativa";224963,40;1711858,25;2160969,43;"89.63%"
"2020/02";"326755";"Associação Evangelica Beneficente De Londrina";"Ativa";2208105,40;894614,51;4839841,40;"64.11%"
"2020/02";"416584";"Associação Fundo De Proteção À Saúde";"Ativa";1435766,62;0,00;1440651,34;"99.66%"
"2020/02";"402206";"Associação Goiana Do Ministério Público";"Ativa";4784,15;0,00;4784,15;"100.00%"
"2020/02";"419150";"Associação Mais Saúde Santa Casa De São João Da Boa Vista";"Ativa";130345,25;0,00;130345,25;"100.00%"
"2020/02";"418854";"Associação Metropolitana De Assistência À Saúde";"Ativa";627,49;0,00;670284,62;"0.09%"
"2020/02";"417211";"Associação Mineira De Assistência À Saúde Dos Membros Do Ministério Público";"Ativa";288217,53;0,00;288217,53;"100.00%"
"2020/02";"420158";"Associação Padre Albino Saúde";"Ativa";100516,42;0,00;100516,42;"100.00%"
"2020/02";"418617";"Associação Paranaense De Assistência À Saude Dos Membros Do Ministerio Publico Do Paraná";"Ativa";29216,47;0,00;29216,47;"100.00%"
"2020/02";"419974";"Associação Plame De Saúde";"Ativa";5475,92;0,00;5475,92;"100.00%"
"2020/02";"419958";"Associação Plano De Saúde Santa Casa De Valinhos";"Ativa";27044,69;123263,86;194904,84;"77.12%"
"2020/02";"408093";"Associação Policial De Assistencia A Saude De Botucatu";"Ativa";518544,68;44304,10;562848,78;"100.00%"
"2020/02";"408263";"Associação Policial De Assistencia À Saude De Sao Joao Da Boa Vista";"Ativa";66059,57;0,00;66059,57;"100.00%"
"2020/02";"409413";"Associação Policial De Assistência A Saúde";"Ativa";385933,37;0,00;385933,37;"100.00%"
"2020/02";"410110";"Associação Policial De Assistência A Saúde Da Baixada Santista";"Ativa";1332235,88;110470,29;1442706,17;"100.00%"
"2020/02";"406813";"Associação Policial De Assistência À Saúde";"Ativa";204067,09;0,00;204067,09;"100.00%"
"2020/02";"406937";"Associação Policial De Assistência À Saúde";"Ativa";807400,59;0,00;811019,55;"99.55%"
"2020/02";"410128";"Associação Policial De Assistência À Saúde - Apas Sorocaba/Votorantim";"Ativa";968898,31;12082,06;981354,45;"99.96%"
"2020/02";"409405";"Associação Policial De Assistência À Saúde - Vale Do Ribeira";"Ativa";226375,29;0,00;230636,65;"98.15%"
"2020/02";"414212";"Associação Policial De Assistência À Saúde De Araçatuba (Apas)";"Ativa";268852,21;68590,71;357098,52;"94.50%"
"2020/02";"407569";"Associação Policial De Assistência À Saúde De Barretos";"Ativa";156966,87;61980,22;234749,22;"93.27%"
"2020/02";"406945";"Associação Policial De Assistência À Saúde De Bauru";"Ativa";979955,18;0,00;1063899,58;"92.11%"
"2020/02";"408026";"Associação Policial De Assistência À Saúde De Dracena";"Ativa";123396,81;0,00;123396,81;"100.00%"
"2020/02";"408034";"Associação Policial De Assistência À Saúde De Jaú";"Ativa";137333,06;0,00;155549,77;"88.29%"
"2020/02";"411248";"Associação Policial De Assistência À Saúde De Presidente Venceslau";"Ativa";624490,23;0,00;635575,71;"98.26%"
"2020/02";"408794";"Associação Policial De Assistência À Saúde De Ribeirão Preto (Apas)";"Ativa";462022,22;0,00;1530054,55;"30.20%"
"2020/02";"407097";"Associação Policial Militar De Assistëncia A Saúde";"Ativa";21093,60;0,00;21093,60;"100.00%"
"2020/02";"333328";"Associação Pró-Saúde";"Ativa";98249,70;865894,95;979738,96;"98.41%"
"2020/02";"418803";"Associação Santa Casa Saúde De Araçatuba";"Ativa";303645,08;1161056,51;1692373,65;"86.55%"
"2020/02";"419249";"Associação Santa Casa Saúde De São José Dos Campos";"Ativa";1862783,57;724877,39;2625928,22;"98.54%"
"2020/02";"330892";"Associação Saúde Conceição";"Ativa";998761,27;0,00;1035524,91;"96.45%"
"2020/02";"418218";"Associação Saúde Rural Alegrete";"Ativa";19826,15;0,00;19826,15;"100.00%"
"2020/02";"418919";"Associação Saúde São José";"Ativa";750532,51;0,00;765649,01;"98.03%"
"2020/02";"419141";"Associação São Francisco Vida";"Ativa";346463,54;0,00;346463,54;"100.00%"
"2020/02";"421006";"Associação São Luiz Saúde";"Ativa";3105,00;0,00;3105,00;"100.00%"
"2020/02";"412635";"Associação Valeparaibana De Assistência Médica Policial";"Ativa";537922,12;430525,35;990640,61;"97.76%"
"2020/02";"358410";"Astra S/A Industria E Comercio";"Ativa";15396,35;0,00;84867,82;"18.14%"
"2020/02";"320510";"Atívia Serviços De Saúde S/A";"Ativa";168098,84;2519568,84;3306213,00;"81.29%"
"2020/02";"327417";"Austaclinicas Assistência Médica E Hospitalar Ltda";"Ativa";912732,31;5618289,03;8004377,22;"81.59%"
"2020/02";"346403";"Bardella S/A Indústrias Mecânicas";"Ativa";50561,62;0,00;366293,22;"13.80%"
"2020/02";"351563";"Belo Dente Odontologia Ltda.";"Ativa";40517,37;0,00;156563,47;"25.88%"
"2020/02";"318299";"Beneficencia Camiliana Do Sul";"Ativa";4997853,59;464001,48;5461855,07;"100.00%"
"2020/02";"366561";"Bensaude Plano De Assistencia Medica Hospitalar Ltda.";"Ativa";5659266,08;0,00;5673035,04;"99.76%"
"2020/02";"402966";"Bio Saúde Serviços Médicos Ltda";"Ativa";22671,25;878379,15;1127400,97;"79.92%"
"2020/02";"415111";"Biovida Saúde Ltda.";"Ativa";10652703,97;1606447,59;17416646,12;"70.39%"
"2020/02";"005711";"Bradesco Saúde S.A.";"Ativa";266089687,44;0,00;268700518,08;"99.03%"
"2020/02";"417238";"Brf S/A";"Ativa";4269339,12;0,00;11352350,87;"37.61%"
"2020/02";"415774";"Caberj Integral Saúde S.A";"Ativa";2579197,16;0,00;2593598,34;"99.44%"
"2020/02";"416657";"Caixa Assistencial Dos Auditores Fiscais Da Receita Federal Do Brasil";"Ativa";185039,52;0,00;185039,52;"100.00%"
"2020/02";"327557";"Caixa Assistencial E Beneficente Dos Funcionários Da Acaresc";"Ativa";1193686,10;0,00;1193686,10;"100.00%"
"2020/02";"347825";"Caixa Assistencial Universitaria Do Rio De Janeiro";"Ativa";763680,68;0,00;763680,68;"100.00%"
"2020/02";"314251";"Caixa Assistencial Universitária Do Rio Grande Do Norte";"Ativa";1516841,48;325100,25;1871574,87;"98.42%"
"2020/02";"352331";"Caixa Beneficente Dos Funcionarios Do Banco Do Estado De São Paulo";"Ativa";9751716,05;1108237,37;10859953,42;"100.00%"
"2020/02";"414026";"Caixa Beneficente Dos Funcionários Do Grupo Iguaçu";"Ativa";172572,72;0,00;172572,72;"100.00%"
"2020/02";"316873";"Caixa De Assistencia A Saude Da Universidade";"Ativa";3085854,04;0,00;3100361,47;"99.53%"
"2020/02";"419273";"Caixa De Assistencia A Saude Dos Estivadores De Paranaguá-Sindestivasaude";"Ativa";83320,44;0,00;123175,42;"67.64%"
"2020/02";"413534";"Caixa De Assistencia Dos Servidores Do Estado De Mato Grosso Do Sul";"Ativa";8288179,14;8031100,33;20091348,43;"81.23%"
"2020/02";"416401";"Caixa De Assistência  Dos Empregados Da Empresa  Brasileira De Pesquisa  Agropecuária";"Ativa";1393222,26;0,00;1393222,26;"100.00%"
"2020/02";"418820";"Caixa De Assistência Aos Membros Da Defensoria Pública Do Estado Do Rio De Janeiro";"Ativa";13370,68;0,00;13370,68;"100.00%"
"2020/02";"418374";"Caixa De Assistência Do Setor Elétrico - E-Vida";"Ativa";1343000,50;0,00;1343000,50;"100.00%"
"2020/02";"413518";"Caixa De Assistência Do Sindfisco - Cassind";"Ativa";196789,24;0,00;196789,24;"100.00%"
"2020/02";"321869";"Caixa De Assistência Dos Empregados Da Cedae";"Ativa";2285665,64;3088732,91;6038354,39;"89.00%"
"2020/02";"363855";"Caixa De Assistência Dos Empregados Da Saneago";"Ativa";1782081,60;0,00;1782081,60;"100.00%"
"2020/02";"307319";"Caixa De Assistência Dos Empregados Do Banco Do Estado Do Rio Grande Do Sul";"Ativa";3042092,34;0,00;4161097,89;"73.11%"
"2020/02";"315583";"Caixa De Assistência Dos Empregados Do Baneb";"Ativa";728687,82;0,00;961111,45;"75.82%"
"2020/02";"335789";"Caixa De Assistência Dos Empregados Do Banese";"Ativa";174420,91;0,00;174420,91;"100.00%"
"2020/02";"344184";"Caixa De Assistência Dos Empregados Do Setor Público Do Estado De Goiás - Caeme";"Ativa";178300,87;0,00;178300,87;"100.00%"
"2020/02";"343331";"Caixa De Assistência Dos Empregados Do Sistema Financeiro Banestes";"Ativa";1294061,56;0,00;1294061,56;"100.00%"
"2020/02";"358754";"Caixa De Assistência Dos Funcionários Do Banco Da Amazônia - Casf";"Ativa";1537807,74;377542,72;1920926,74;"99.71%"
"2020/02";"346659";"Caixa De Assistência Dos Funcionários Do Banco Do Brasil";"Ativa";63216582,71;0,00;63831617,38;"99.04%"
"2020/02";"385697";"Caixa De Assistência Dos Funcionários Do Banco Do Nordeste Do Brasil";"Ativa";4259547,54;0,00;7297246,95;"58.37%"
"2020/02";"302627";"Caixa De Assistência Dos Magistrados De Pernambuco";"Ativa";115133,58;0,00;115133,58;"100.00%"
"2020/02";"359122";"Caixa De Assistência Dos Servidores Fazendários Estaduais";"Ativa";1180123,79;220128,16;1400251,95;"100.00%"
"2020/02";"417548";"Caixa De Assistência Oswaldo Cruz";"Ativa";539229,86;0,00;539229,86;"100.00%"
"2020/02";"320820";"Caixa De Assistência Sistema Saúde Integral-Ssi Saude";"Ativa";970565,52;18566,56;1140922,88;"86.70%"
"2020/02";"412295";"Caixa De Assistência À Saude Dos Empregados Da Codevasf - Casec";"Ativa";181150,73;0,00;181150,73;"100.00%"
"2020/02";"324361";"Caixa De Assistência À Saúde - Caberj";"Ativa";5902759,85;0,00;5902759,85;"100.00%"
"2020/02";"417661";"Caixa De Assistência À Saúde Do Sindicato Dos Funcionários Integrantes Do Grupo Ocupacional Administração Tributária Do Estado De Pernambuco";"Ativa";198711,33;0,00;198711,33;"100.00%"
"2020/02";"421341";"Caixa De Assistência À Saúde Dos Servidores Públicos Do Estado Do Mato Grosso Do Sul";"Ativa";83157,89;0,00;83157,89;"100.00%"
"2020/02";"419851";"Caixa De Assistência À Saúde Dos Trabalhadores Nas Indústrias Metalúrgicas, Mecânicas E Do Material Elétrico De Brusque";"Ativa";29009,24;0,00;29009,24;"100.00%"
"2020/02";"324477";"Caixa De Previdência E Assistência Dos Servidores Da Fundação Nacional De Saúde - Capesesp";"Ativa";19157882,08;24241170,38;44622235,88;"97.26%"
"2020/02";"312924";"Caixa Econômica Federal";"Ativa";33062286,87;0,00;33909117,85;"97.50%"
"2020/02";"418072";"Caixa Seguradora Especializada Em Saúde S/A";"Ativa";5400775,84;0,00;5530314,69;"97.66%"
"2020/02";"319872";"Camim-Clinica Médica Ltda";"Ativa";85334,74;626339,07;711673,81;"100.00%"
"2020/02";"379956";"Care Plus Medicina Assistencial Ltda.";"Ativa";2053608,82;0,00;2169174,90;"94.67%"
"2020/02";"327328";"Casa De Saúde Nossa Senhora De Fátima  Ltda.";"Ativa";20986,69;12557,46;33544,15;"100.00%"
"2020/02";"363766";"Casa De Saúde São Bernardo S/A";"Ativa";5524926,40;6094254,90;11640533,95;"99.82%"
"2020/02";"311472";"Ceam Brasil - Planos De Saúde S/A";"Ativa";54655,79;918729,42;1052588,08;"92.48%"
"2020/02";"418749";"Cedplan Saúde Ltda Epp";"Ativa";1120,55;0,00;38521,05;"2.91%"
"2020/02";"339270";"Celulose Nipo-Brasileira S/A - Cenibra";"Ativa";1495,08;0,00;1667627,79;"0.09%"
"2020/02";"417505";"Cemig Saúde";"Ativa";4359798,95;0,00;4871145,14;"89.50%"
"2020/02";"300012";"Cemil Centro Medico De Itu Ltda.";"Ativa";135160,60;0,00;414495,11;"32.61%"
"2020/02";"304697";"Centrais Elétricas De Rondônia S/A - Ceron";"Ativa";383198,87;0,00;424895,29;"90.19%"
"2020/02";"339679";"Central Nacional Unimed - Cooperativa Central";"Ativa";4827794,44;42957768,87;142252154,74;"33.59%"
"2020/02";"417092";"Central Operadora De Planos De Saúde Norte-Nordeste Sociedade Cooperativa";"Ativa";154727,59;0,00;165278,05;"93.62%"
"2020/02";"386596";"Central Regional Das Cooperativas Médicas - Unimed Cerrado";"Ativa";1202515,05;0,00;4232246,80;"28.41%"
"2020/02";"310361";"Centro Barbacenense De Assistência Medica E Social";"Ativa";15060,53;431002,40;458361,10;"97.32%"
"2020/02";"304212";"Centro Clinico Nh Ltda.";"Ativa";18674,36;26022,64;51660,97;"86.52%"
