,carat,cut,color,clarity,depth,table,x,y,z,cut_mdl,color_mdl,clarity_mdl,price_predicted
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,2,1,0,1054.709909390328
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,2,4,0,2429.422530056359
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,1,3,0,3030.4149255062653
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,2,3,0,1387.6837948626016
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,0,2,0,7832.615924752747
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,3,1,0,1293.770132530547
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,4,4,0,2032.2911838791765
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,3,5,0,2966.2574648013583
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,3,4,0,3543.7345456541975
248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,3,4,0,6257.015102272819
295,1.01,Fair,I,I1,56.1,63.0,6.7,6.65,3.74,0,1,0,1933.2297414192012
302,1.03,Premium,H,I1,62.9,59.0,6.41,6.3,4.0,3,2,0,2904.4225328217567
398,1.11,Premium,D,I1,61.9,58.0,6.63,6.66,4.11,3,6,0,3920.471020749352
421,1.05,Premium,I,I1,61.8,56.0,6.53,6.48,4.02,3,1,0,2825.4607693313815
605,0.96,Ideal,F,I1,60.7,55.0,6.41,6.37,3.88,4,4,0,3170.118514074082
757,1.21,Good,E,I1,63.3,63.0,6.67,6.72,4.24,1,5,0,3713.489527961587
765,2.0,Fair,H,I1,69.8,54.0,7.6,7.56,5.29,0,2,0,6432.213056820556
811,0.41,Good,F,I1,63.8,57.0,4.72,4.69,3.0,1,4,0,400.0
861,1.0,Premium,E,I1,62.3,58.0,6.38,6.33,3.96,3,5,0,3272.5955921615246
925,1.13,Ideal,F,I1,62.2,55.0,6.68,6.63,4.14,4,4,0,3914.0825376630587
1028,1.13,Ideal,E,I1,62.0,55.0,6.66,6.7,4.14,4,5,0,4080.569480399195
1065,1.7,Ideal,H,I1,61.3,55.0,7.7,7.63,4.7,4,2,0,6075.576260695003
1103,1.02,Good,G,I1,57.4,59.0,6.64,6.6,3.8,1,3,0,2549.026439654575
1112,0.7,Good,F,I1,63.9,60.0,5.65,5.52,3.58,1,4,0,1315.11051445852
1179,1.0,Fair,G,I1,66.4,59.0,6.16,6.09,4.07,0,3,0,2222.441037268594
1246,1.44,Good,G,I1,63.2,54.8,7.18,7.21,4.54,1,3,0,4387.0552038155765
1270,0.97,Ideal,F,I1,60.7,56.0,6.43,6.41,3.9,4,4,0,3213.8811036969632
1411,1.51,Fair,I,I1,65.1,57.0,7.16,7.12,4.65,0,1,0,4121.359222563251
1633,0.98,Fair,G,I1,58.7,57.0,6.54,6.43,3.8,0,3,0,2134.915858022832
1657,2.5,Premium,H,I1,59.9,60.0,8.75,8.67,5.22,3,2,0,9337.523207385262
1835,2.68,Premium,G,I1,58.6,60.0,9.11,9.07,5.33,3,3,0,10291.736763333258
2019,0.93,Very Good,F,I1,61.3,59.0,6.22,6.27,3.83,2,4,0,2560.710298925002
2054,1.03,Premium,H,I1,61.1,60.0,6.46,6.51,3.96,3,2,0,2904.4225328217567
2081,1.66,Ideal,F,I1,62.1,58.0,7.6,7.56,4.71,4,4,0,6233.499787675752
2227,0.7,Fair,F,I1,65.9,57.0,5.64,5.5,3.67,0,4,0,1076.0502913183009
2236,1.07,Premium,I,I1,59.8,59.0,6.68,6.62,3.98,3,1,0,2912.9859485771435
2239,0.58,Fair,F,I1,66.3,55.0,5.18,5.1,3.41,0,4,0,550.899215843729
2242,1.12,Ideal,D,I1,60.6,55.0,6.73,6.76,4.09,4,6,0,4203.293833512453
2246,0.8,Fair,G,I1,64.5,57.0,5.86,5.83,3.77,0,3,0,1347.1892448109747
2259,1.12,Premium,G,I1,60.3,60.0,6.75,6.69,4.05,3,3,0,3464.7727821638223
2371,0.91,Good,E,I1,57.7,63.0,6.35,6.3,3.65,1,5,0,2400.611839275158
2394,1.21,Good,G,I1,64.0,59.0,6.78,6.73,4.32,1,3,0,3380.5156424893134
2410,1.83,Fair,J,I1,70.0,58.0,7.34,7.28,5.12,0,0,0,5355.2751477593065
2430,1.7,Good,I,I1,63.6,58.0,7.52,7.48,4.77,1,1,0,5191.908648538209
2530,1.52,Good,E,I1,57.3,58.0,7.53,7.42,4.28,1,5,0,5070.129806270899
2557,1.5,Good,I,I1,62.6,63.0,7.19,7.25,4.52,1,1,0,4316.65685608059
2752,1.04,Premium,G,I1,62.2,58.0,6.46,6.41,4.0,3,3,0,3114.672065180774
2782,0.7,Fair,I,I1,68.6,57.0,5.46,5.34,3.71,0,1,0,576.5894631098904
2798,0.99,Fair,J,I1,73.6,60.0,6.01,5.8,4.35,0,0,0,1679.2176194373028
2821,1.0,Good,F,I1,64.2,59.0,6.26,6.3,4.03,1,4,0,2627.98820314495
2924,1.06,Fair,I,I1,64.5,57.0,6.47,6.33,4.13,0,1,0,2152.0426895336063
2927,1.01,Fair,G,I1,64.5,56.0,6.32,6.26,4.06,0,3,0,2266.203626891475
3062,1.21,Ideal,F,I1,62.0,56.0,6.84,6.8,4.23,4,4,0,4264.183254646106
3121,0.43,Premium,H,I1,62.0,59.0,4.83,4.78,2.98,3,2,0,400.0
3155,1.51,Fair,G,I1,65.6,54.0,7.28,7.1,4.72,0,3,0,4454.333108035526
3272,2.0,Fair,H,I1,66.8,57.0,7.81,7.72,5.19,0,2,0,6432.213056820556
3319,2.03,Premium,H,I1,59.4,59.0,8.31,8.22,4.91,3,2,0,7280.681495109855
3357,2.25,Fair,H,I1,67.7,58.0,8.01,7.97,5.41,0,2,0,7526.27779739258
3363,1.01,Premium,E,I1,59.8,58.0,6.57,6.53,3.92,3,5,0,3316.3581817844047
3416,0.91,Premium,E,I1,59.6,59.0,6.29,6.32,3.76,3,5,0,2878.7322855555963
3466,0.85,Premium,I,I1,59.6,58.0,6.24,6.14,3.69,3,1,0,1950.2089768737628
3481,0.87,Ideal,G,I1,61.5,57.0,6.09,6.04,3.73,4,3,0,2609.7682647320166
3497,0.96,Fair,J,I1,59.5,60.0,6.28,6.23,3.72,0,0,0,1547.9298505686597
3505,1.02,Premium,E,I1,60.4,62.0,6.52,6.47,3.92,3,5,0,3360.1207714072866
3792,0.4,Good,F,I1,63.3,60.4,4.64,4.68,2.95,1,4,0,400.0
3819,1.18,Very Good,E,I1,62.5,58.0,6.62,6.75,4.18,2,5,0,3821.261982233163
3837,1.18,Ideal,E,I1,61.6,56.0,6.82,6.79,4.19,4,5,0,4299.3824285136
3851,1.23,Good,D,I1,63.7,58.0,6.79,6.72,4.3,1,6,0,3967.5016499434864
4076,2.01,Very Good,H,I1,58.1,63.0,8.3,8.19,4.79,2,2,0,6954.096092723874
4147,1.12,Very Good,G,I1,61.2,63.0,6.68,6.59,4.05,2,3,0,3225.712559023604
4190,1.5,Premium,H,I1,62.9,60.0,7.31,7.22,4.57,3,2,0,4961.264245097163
4214,2.02,Fair,G,I1,65.6,57.0,7.87,7.8,5.15,0,3,0,6686.225178802455
4353,0.73,Premium,G,I1,62.5,58.0,5.82,5.74,3.61,3,3,0,1758.0317868714633
4419,1.06,Ideal,F,I1,62.1,55.0,6.54,6.57,4.07,4,4,0,3607.7444103028924
4673,0.64,Good,F,I1,57.3,64.0,5.75,5.69,3.28,1,4,0,1052.5349767212342
4714,1.03,Good,J,I1,58.2,64.0,6.64,6.69,3.88,1,0,0,2093.328201069046
4872,1.64,Fair,G,I1,64.5,60.0,7.44,7.35,4.76,0,3,0,5023.246773132978
4931,1.05,Fair,H,I1,61.8,57.0,6.51,6.4,3.99,0,2,0,2274.7670426468626
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,2,2,1,3171.7634930046524
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,4,3,1,15047.524585746909
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,4,3,1,5047.326924781596
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,1,2,1,17327.12763000461
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,2,4,1,4526.786938205677
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,3,6,1,7300.52457086093
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,4,6,1,3965.0464276922985
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,2,5,1,696.0128300431397
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,3,5,1,4409.85434952219
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,4,2,1,5271.4723683336915
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,3,3,1,7071.303735364611
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,1,5,1,4687.2416395045775
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,4,3,1,6604.734757227013
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,3,3,1,2808.9244044613606
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,3,5,1,2442.6023506437677
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2,4,1,2313.628439467453
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,3,1,1,15962.384450988699
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,2,5,1,947.8441624088234
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,3,2,1,5410.166013324885
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,3,4,1,4879.90629293409
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,2,0,1,3702.023213395446
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,4,3,1,5293.233424641398
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,3,4,1,4715.968626360888
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,3,2,1,4180.633514025872
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,0,6,1,10503.545837578942
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,0,2,1,11891.940611506936
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,4,1,1,6151.368478178597
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,2,4,1,8625.228602535724
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,3,5,1,4573.792016095392
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,2,1,1,12084.605264936446
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,3,4,1,9306.22329041054
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,3,2,1,4836.38418031868
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,3,5,1,4245.916682948989
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,1,4,1,730.9765854400266
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,3,2,1,2951.101014726857
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,3,2,1,13279.174008838578
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,1,0,1,2529.2155258010253
238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,2,2,1,8007.924656914106
243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,2,6,1,2766.994718515869
247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,4,6,1,1342.0437625210698
252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,3,4,1,4715.968626360888
271,0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,4,4,1,1380.4904831922586
285,1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,1,6,1,10692.727525734153
303,1.57,Ideal,I,SI2,62.6,58.0,7.38,7.41,4.63,4,1,1,8692.402310063226
305,2.51,Premium,J,SI2,59.3,58.0,8.87,8.83,5.25,3,0,1,15940.623394680992
308,0.32,Ideal,E,SI2,62.7,55.0,4.39,4.42,2.76,4,5,1,947.8441624088234
309,1.25,Premium,J,SI2,62.3,59.0,6.82,6.86,4.26,3,0,1,5612.550400569277
310,2.26,Premium,I,SI2,62.0,58.0,8.4,8.37,5.2,3,1,1,14159.070118683478
314,1.7,Very Good,F,SI2,63.4,57.0,7.54,7.57,4.79,2,4,1,10182.636434981141
