,carat,cut,color,clarity,depth,table,x,y,z,cut_mdl,color_mdl,clarity_mdl,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,2,2,1,3253.3053865265865
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,1,4,3,127.83949629108429
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,4,2,3,1183.8643290586115
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,4,3,4,7123.648903094525
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,4,3,1,15921.448928062824
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,2,0,3,13326.529261088448
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,4,3,1,5201.40661635112
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,3,5,2,3046.128617267117
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,3,1,3,2554.194633790119
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,4,2,7,5123.471500045582
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,1,6,3,6215.294890349269
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,4,3,5,881.3090553634993
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,4,0,5,1767.2146817773273
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,4,6,3,793.4796206604387
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,0,6,3,1754.5637652009946
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,4,5,2,1531.7541916252594
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,1,1,2,-2058.050152854561
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,1,2,1,18475.274899275217
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,3,4,2,4659.468481883276
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,4,3,7,1664.878450626591
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,2,2,2,4567.716676559548
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,2,4,4,455.09155634014314
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,2,4,1,4771.562418215844
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4,4,4,5422.439839202041
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,3,6,1,7762.997799658311
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,3,5,4,1281.491233516772
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,4,4,5,3134.2139589056624
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,3,3,2,1967.2175819594868
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,3,6,5,2388.469847354785
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,2,1,0,564.681185714714
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,2,1,4,5558.718748017593
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,4,4,5,1288.9607741028276
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,4,1,6,4280.100484036548
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,4,6,1,4139.762591384642
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,2,3,2,581.9084314826041
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,4,5,3,6888.148648369193
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,4,6,4,2020.0217114170755
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,4,4,3,6304.758531077216
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,4,6,2,182.02192483807903
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,3,0,4,-1020.3749580088443
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,2,6,5,1442.506693259531
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,4,3,4,357.72055881746473
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,4,3,4,-345.2330353931393
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,4,4,4,413.8954804514906
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,2,4,7,10109.823379400186
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,4,0,4,6515.778141810819
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,3,2,2,9204.186200260472
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,2,5,1,697.884973862574
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,4,3,7,1840.6168491792423
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,3,5,1,4631.400903352893
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,3,5,3,1900.202327562968
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,4,2,1,5408.83929254607
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,3,3,1,7418.734636203582
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,3,2,3,-728.6600170762222
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,4,5,3,3724.8574744214766
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,4,2,6,10047.773358631728
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,1,4,3,-1190.1984928537968
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,2,4,0,3281.4127296302304
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,4,6,2,6420.735073457186
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,1,5,1,5024.073776346846
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,4,2,5,2494.648919979658
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,4,5,7,2655.920286657898
