,maxtemp_yesterday
0,
1,22.9
2,25.1
3,25.7
4,28.0
5,32.3
6,29.7
7,25.0
8,26.7
9,31.9
10,30.1
11,30.4
12,21.7
13,18.6
15,
16,20.9
17,22.9
18,22.5
19,25.6
20,29.3
21,33.0
22,31.8
23,30.9
24,32.4
26,
27,32.7
28,27.2
29,24.2
30,24.4
31,26.5
32,23.9
33,28.8
34,34.6
35,35.8
36,37.9
37,38.9
38,28.3
39,28.4
40,30.8
41,32.0
42,34.7
43,37.7
44,43.0
45,32.7
46,26.7
47,28.4
48,32.2
49,36.6
50,39.9
51,38.1
52,34.0
53,35.2
54,30.6
55,34.3
56,38.4
57,38.2
58,40.7
59,41.5
60,42.9
61,42.7
62,43.1
65,
66,41.2
67,42.2
68,44.8
69,40.2
70,31.2
71,27.3
72,26.7
73,21.6
75,
76,31.3
77,31.1
78,28.8
79,32.0
80,34.0
81,29.1
82,31.7
83,33.2
84,34.0
86,
89,
90,30.3
91,31.9
92,31.1
93,22.1
95,
96,27.9
97,30.2
98,31.8
99,32.0
100,30.5
102,
103,27.0
104,19.7
105,21.9
106,25.3
107,28.0
108,30.1
110,
112,
113,31.9
116,
119,
122,
124,
125,21.7
126,21.4
127,22.5
128,24.0
129,25.7
130,26.7
132,
134,
136,
137,21.6
138,23.4
139,23.9
140,22.0
143,
144,16.2
145,15.8
146,12.9
147,11.5
148,14.5
151,
152,19.2
153,18.9
155,
156,19.3
160,
161,17.7
162,18.5
163,15.1
164,16.3
165,16.6
166,16.4
169,
171,
172,19.8
174,
175,20.3
183,
184,14.3
185,17.4
187,
188,11.6
189,12.0
190,8.8
192,
193,8.2
199,
200,15.3
201,17.3
202,17.0
203,14.9
204,15.5
205,14.1
206,12.2
207,13.7
208,11.9
209,12.3
210,15.7
211,16.1
212,13.3
213,11.6
214,12.0
215,13.2
216,12.4
222,
223,16.5
224,13.1
227,
229,
231,
232,17.7
233,12.3
237,
238,8.8
239,12.7
241,
243,
244,14.1
246,
248,
249,13.9
250,12.9
251,12.2
252,14.8
253,17.7
254,14.3
256,
257,17.5
258,15.5
260,
261,16.4
262,18.4
263,14.8
264,14.1
265,18.9
266,17.1
267,12.8
268,14.4
269,16.7
270,18.6
271,17.9
272,11.1
273,14.2
274,14.2
275,16.8
276,20.7
277,16.9
278,15.0
279,16.6
280,17.6
281,16.5
283,
284,24.7
285,25.1
286,17.8
287,17.2
288,21.1
290,
292,
293,19.0
294,20.2
295,16.8
296,18.2
297,20.6
298,12.2
299,12.9
300,17.9
301,17.0
302,21.4
303,21.1
304,22.0
307,
309,
310,16.3
311,18.2
312,19.0
313,18.7
314,23.3
315,17.7
316,15.1
317,15.7
318,16.6
319,19.2
320,20.3
321,22.7
