,artist,uri,followers,genres,popularity,spotify_id,chart
0,Doja Cat,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,1892264,"['la indie', 'pop']",91,5cj0lLjcoR7YOSnhnX0Po5,hot-100
1,Megan Thee Stallion,spotify:artist:181bsRPaVXVlUKXrxwZfHK,1107542,"['houston rap', 'pop', 'pop rap', 'trap queen']",87,181bsRPaVXVlUKXrxwZfHK,hot-100
2,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,20303554,"['canadian contemporary r&b', 'canadian pop', 'pop']",97,1Xyo4u8uXC1ZmMpatF05PJ,hot-100
3,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,46377628,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",100,3TVXtAsR1Inumwj472S9r4,hot-100
4,Roddy Ricch,spotify:artist:757aE44tKEUQEqRuT6GnEB,2526217,['melodic rap'],93,757aE44tKEUQEqRuT6GnEB,hot-100
5,Dua Lipa,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,16717403,"['dance pop', 'pop', 'uk pop']",95,6M2wZ9GZgrQXHCFfjv46we,hot-100
6,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,46377628,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",100,3TVXtAsR1Inumwj472S9r4,hot-100
7,Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60,24925677,"['dfw rap', 'melodic rap', 'rap']",95,246dkjvS1zLTtiykXe5h60,hot-100
8,DaBaby,spotify:artist:4r63FhuTkUYltbVAg5TQnk,2976860,"['nc hip hop', 'rap']",94,4r63FhuTkUYltbVAg5TQnk,hot-100
9,Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s,34653621,"['canadian pop', 'pop', 'post-teen pop']",95,1uNFoZAHBGtllmzznpCI3s,hot-100
10,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,7082175,"['pop', 'post-teen pop']",89,6KImCVD70vtIoJWnq6nGn3,hot-100
11,THE SCOTTS,spotify:artist:2PaZWGu5T5nHjY2xxAkFsT,99740,[],84,2PaZWGu5T5nHjY2xxAkFsT,hot-100
12,Future,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,8603986,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",92,1RyvyyTE3xzB2ZywiAwp0i,hot-100
13,Maren Morris,spotify:artist:6WY7D3jk8zTrHtmkqqo5GI,470109,"['contemporary country', 'pop', 'texas country']",79,6WY7D3jk8zTrHtmkqqo5GI,hot-100
14,Camila Cabello,spotify:artist:4nDoRrQiYLoBzwC5BhVJzF,16187744,"['dance pop', 'pop', 'post-teen pop']",89,4nDoRrQiYLoBzwC5BhVJzF,hot-100
15,Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,25679854,"['electropop', 'pop']",94,6qqNVTkY8uBg9cP3Jd7DAH,hot-100
16,Lewis Capaldi,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB,3444813,"['pop', 'uk pop']",89,4GNC7GD6oZMSxPGyXy4MNB,hot-100
17,Future,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,8603986,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",92,1RyvyyTE3xzB2ZywiAwp0i,hot-100
18,SAINt JHN,spotify:artist:0H39MdGGX6dbnnQPt6NQkZ,338681,"['melodic rap', 'pop rap', 'rap', 'trap']",87,0H39MdGGX6dbnnQPt6NQkZ,hot-100
19,Gabby Barrett,spotify:artist:6Iz3eq2aQGFf7TbGT2iahL,56956,"['contemporary country', 'country pop']",69,6Iz3eq2aQGFf7TbGT2iahL,hot-100
20,Lil Mosey,spotify:artist:5zctI4wO9XSKS8XwcnqEHk,2027231,"['melodic rap', 'rap conscient', 'trap', 'vapor trap']",87,5zctI4wO9XSKS8XwcnqEHk,hot-100
21,Morgan Wallen,spotify:artist:4oUHIQIBe0LHzYfvXNW4QM,539801,"['contemporary country', 'country road', 'deep talent show']",82,4oUHIQIBe0LHzYfvXNW4QM,hot-100
22,Blake Shelton Duet,spotify:artist:4oUHIQIBe0LHzYfvXNW4QM,539801,"['contemporary country', 'country road', 'deep talent show']",82,4oUHIQIBe0LHzYfvXNW4QM,hot-100
23,Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP,24158694,"['pop', 'pop rock']",89,04gDigrS5kc9YWfZHwBETP,hot-100
24,Trevor Daniel,spotify:artist:7uaIm6Pw7xplS8Dy06V6pT,303736,"['alternative r&b', 'melodic rap', 'pop rap']",83,7uaIm6Pw7xplS8Dy06V6pT,hot-100
25,Marshmello,spotify:artist:64KEffDW9EtZ1y2vBYgq8T,23659559,"['brostep', 'pop', 'progressive electro house']",88,64KEffDW9EtZ1y2vBYgq8T,hot-100
26,Powfu,spotify:artist:6bmlMHgSheBauioMgKv2tn,304808,[],86,6bmlMHgSheBauioMgKv2tn,hot-100
27,Roddy Ricch,spotify:artist:757aE44tKEUQEqRuT6GnEB,2526217,['melodic rap'],93,757aE44tKEUQEqRuT6GnEB,hot-100
28,Luke Combs,spotify:artist:718COspgdWOnwOFpJHRZHS,2791767,['contemporary country'],86,718COspgdWOnwOFpJHRZHS,hot-100
29,Surfaces,spotify:artist:4ETSs924pXMzjIeD6E9b4u,396618,"['bedroom soul', 'pop']",84,4ETSs924pXMzjIeD6E9b4u,hot-100
30,The Black Eyed Peas,spotify:artist:6PS0AUIvBf3DiGci5jNiAD,765,[],31,6PS0AUIvBf3DiGci5jNiAD,hot-100
31,Thomas Rhett,spotify:artist:6x2LnllRG5uGarZMsD4iO8,3342624,"['contemporary country', 'country', 'country road', 'modern country rock']",80,6x2LnllRG5uGarZMsD4iO8,hot-100
32,Juice WRLD,spotify:artist:4MCBfE4596Uoi2O4DtmEMz,9363235,"['chicago rap', 'melodic rap']",95,4MCBfE4596Uoi2O4DtmEMz,hot-100
33,blackbear,spotify:artist:2cFrymmkijnjDg9SS92EPM,3062474,"['pop', 'pop rap']",86,2cFrymmkijnjDg9SS92EPM,hot-100
34,Jack Harlow,spotify:artist:2LIk90788K0zvyj2JJVwkJ,255270,"['deep underground hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",82,2LIk90788K0zvyj2JJVwkJ,hot-100
35,Rod Wave,spotify:artist:45TgXXqMDdF8BkjA83OM7z,606573,['florida rap'],81,45TgXXqMDdF8BkjA83OM7z,hot-100
36,Mustard,spotify:artist:0YinUQ50QDB7ZxSCLyQ40k,651016,"['cali rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",84,0YinUQ50QDB7ZxSCLyQ40k,hot-100
37,Travis Denning,spotify:artist:6CegFHnUqJcOBipgphZ2CJ,17581,"['contemporary country', 'country pop']",63,6CegFHnUqJcOBipgphZ2CJ,hot-100
38,Tones,spotify:artist:2NjfBq1NflQcKSeiDooVjY,1155068,['australian pop'],86,2NjfBq1NflQcKSeiDooVjY,hot-100
39,Carly Pearce,spotify:artist:4sIl4BTo9l9KqEi0Y3RE72,120053,"['contemporary country', 'country pop']",69,4sIl4BTo9l9KqEi0Y3RE72,hot-100
40,BENEE,spotify:artist:0Cp8WN4V8Tu4QJQwCN5Md4,272639,"['nz pop', 'pop']",84,0Cp8WN4V8Tu4QJQwCN5Md4,hot-100
41,Sam Hunt,spotify:artist:2kucQ9jQwuD8jWdtR9Ef38,1785161,"['contemporary country', 'country pop']",79,2kucQ9jQwuD8jWdtR9Ef38,hot-100
42,Lil Baby,spotify:artist:5f7VJjfbwm532GiveGC0ZK,3948976,"['atl hip hop', 'atl trap', 'rap', 'trap']",92,5f7VJjfbwm532GiveGC0ZK,hot-100
43,Luke Combs,spotify:artist:718COspgdWOnwOFpJHRZHS,2791767,['contemporary country'],86,718COspgdWOnwOFpJHRZHS,hot-100
44,twenty one pilots,spotify:artist:3YQKmKGau1PzlVlkL1iodx,16832603,"['modern rock', 'rock']",87,3YQKmKGau1PzlVlkL1iodx,hot-100
45,Lil Baby,spotify:artist:5f7VJjfbwm532GiveGC0ZK,3948976,"['atl hip hop', 'atl trap', 'rap', 'trap']",92,5f7VJjfbwm532GiveGC0ZK,hot-100
46,Pop Smoke,spotify:artist:0eDvMgVFoNV3TpwtrVCoTj,509944,"['rap', 'trap']",84,0eDvMgVFoNV3TpwtrVCoTj,hot-100
47,StaySolidRocky,spotify:artist:1XLWox9w1Yvbodui0SRhUQ,9420,[],73,1XLWox9w1Yvbodui0SRhUQ,hot-100
48,Diplo Presents Thomas Wesley,spotify:artist:1XLWox9w1Yvbodui0SRhUQ,9420,[],73,1XLWox9w1Yvbodui0SRhUQ,hot-100
49,NLE Choppa,spotify:artist:0ErzCpIMyLcjPiwT4elrtZ,1414913,['memphis hip hop'],85,0ErzCpIMyLcjPiwT4elrtZ,hot-100
50,Kenny Chesney,spotify:artist:3grHWM9bx2E9vwJCdlRv9O,2933707,"['contemporary country', 'country', 'country road']",79,3grHWM9bx2E9vwJCdlRv9O,hot-100
51,Ingrid Andress,spotify:artist:0jPnVIasXzBYjrlpO5irii,33719,"['contemporary country', 'country pop']",65,0jPnVIasXzBYjrlpO5irii,hot-100
52,Demi Lovato,spotify:artist:6S2OmqARrzebs0tKUEyXyp,17044312,"['dance pop', 'pop', 'post-teen pop']",86,6S2OmqARrzebs0tKUEyXyp,hot-100
53,JP Saxe,spotify:artist:66W9LaWS0DPdL7Sz8iYGYe,93992,"['canadian contemporary r&b', 'pop']",79,66W9LaWS0DPdL7Sz8iYGYe,hot-100
54,Sam Smith,spotify:artist:2wY79sveU1sp5g7SokKOiI,12545202,"['pop', 'post-teen pop', 'uk pop']",89,2wY79sveU1sp5g7SokKOiI,hot-100
55,Bad Bunny,spotify:artist:4q3ewBCX7sLwd24euuV69X,21170982,"['latin', 'reggaeton', 'trap latino']",99,4q3ewBCX7sLwd24euuV69X,hot-100
56,Regard,spotify:artist:4ofCBoyEiGSePFAG500xev,61093,['pop edm'],79,4ofCBoyEiGSePFAG500xev,hot-100
57,H.E.R.,spotify:artist:3Y7RZ31TRPVadSFVy1o8os,2462822,"['pop', 'r&b']",82,3Y7RZ31TRPVadSFVy1o8os,hot-100
58,Miranda Lambert,spotify:artist:66lH4jAE7pqPlOlzUKbwA0,2275278,"['contemporary country', 'country', 'country dawn', 'country road']",73,66lH4jAE7pqPlOlzUKbwA0,hot-100
59,JACKBOYS,spotify:artist:7A8S43ryYdbWpJKeHRZRcq,208918,"['rap', 'trap']",78,7A8S43ryYdbWpJKeHRZRcq,hot-100
60,Brett Young,spotify:artist:0fiWOxhsBsQQvFDtxUQWo0,525231,['contemporary country'],76,0fiWOxhsBsQQvFDtxUQWo0,hot-100
61,Jhene Aiko,spotify:artist:5ZS223C6JyBfXasXxrRqOk,3141496,"['alternative r&b', 'pop', 'r&b', 'urban contemporary']",84,5ZS223C6JyBfXasXxrRqOk,hot-100
62,PARTYNEXTDOOR,spotify:artist:2HPaUgqeutzr3jx5a9WyDV,2327233,"['pop', 'pop rap', 'rap', 'toronto rap', 'trap', 'urban contemporary']",83,2HPaUgqeutzr3jx5a9WyDV,hot-100
63,Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,34674305,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",94,7dGJo4pcD2V6oG8kP0tJRR,hot-100
64,Don Toliver,spotify:artist:4Gso3d4CscCijv0lmajZWs,518386,"['rap', 'trap']",84,4Gso3d4CscCijv0lmajZWs,hot-100
65,Scotty McCreery,spotify:artist:6ZV6lGY0prbqpTD0Md8i29,583168,"['contemporary country', 'country', 'country road', 'modern country rock']",67,6ZV6lGY0prbqpTD0Md8i29,hot-100
66,Luke Bryan,spotify:artist:0BvkDsjIUla7X0k6CSWh1I,5254616,"['contemporary country', 'country', 'country road']",80,0BvkDsjIUla7X0k6CSWh1I,hot-100
67,Keith Urban,spotify:artist:0u2FHSq3ln94y5Q57xazwf,3680462,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road']",77,0u2FHSq3ln94y5Q57xazwf,hot-100
68,Jordan Davis,spotify:artist:77kULmXAQ6vWer7IIHdGzI,244007,['contemporary country'],73,77kULmXAQ6vWer7IIHdGzI,hot-100
69,NAV,spotify:artist:7rkW85dBwwrJtlHRDkJDAC,1971620,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",86,7rkW85dBwwrJtlHRDkJDAC,hot-100
70,Jake Owen,spotify:artist:1n2pb9Tsfe4SwAjmUac6YT,1367551,"['contemporary country', 'country', 'country road', 'modern country rock']",72,1n2pb9Tsfe4SwAjmUac6YT,hot-100
71,Halsey,spotify:artist:26VFTg2z8YR0cCuwLzESi2,10445572,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",91,26VFTg2z8YR0cCuwLzESi2,hot-100
72,Maddie,spotify:artist:34bhyY8jfKez7uKakMfy4y,527660,"['contemporary country', 'country', 'country pop']",68,34bhyY8jfKez7uKakMfy4y,hot-100
73,Summer Walker,spotify:artist:57LYzLEk2LcFghVwuWbcuS,1181956,['pop'],82,57LYzLEk2LcFghVwuWbcuS,hot-100
74,DaBaby,spotify:artist:4r63FhuTkUYltbVAg5TQnk,2976860,"['nc hip hop', 'rap']",94,4r63FhuTkUYltbVAg5TQnk,hot-100
75,Florida Georgia Line,spotify:artist:3b8QkneNDz4JHKKKlLgYZg,3694256,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",82,3b8QkneNDz4JHKKKlLgYZg,hot-100
76,Young T,spotify:artist:50co4Is1HCEo8bhOyUWKpn,5113508,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'pop rap', 'rap', 'trap']",91,50co4Is1HCEo8bhOyUWKpn,hot-100
77,Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,8594876,"['melodic rap', 'philly rap', 'rap']",94,4O15NlyKLIASxsJ0PrXPfz,billboard-200
78,Megan Thee Stallion,spotify:artist:181bsRPaVXVlUKXrxwZfHK,1107542,"['houston rap', 'pop', 'pop rap', 'trap queen']",87,181bsRPaVXVlUKXrxwZfHK,billboard-200
79,Doja Cat,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,1892264,"['la indie', 'pop']",91,5cj0lLjcoR7YOSnhnX0Po5,billboard-200
