,track,artist,art_genres,chart,tracks_uri,albums_uris,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,Say So,Doja Cat,"['la indie', 'pop']",hot-100,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,spotify:album:1MmVkhiwTH0BkNOU3nw5d3,96,0.256,0.787,0.673,3.57e-06,11.0,0.0904,-4.577,0.0,0.158,110.962,4.0,0.786
1,Savage,Megan Thee Stallion,"['houston rap', 'pop', 'pop rap', 'trap queen']",hot-100,spotify:track:55CHeLEfn5iJ0IIkgaa4si,spotify:album:6Lo6ylJg4qbFfxicPEOzMI,92,0.0252,0.843,0.741,0.0,11.0,0.096,-5.609,1.0,0.334,168.983,4.0,0.68
2,Blinding Lights,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",hot-100,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,spotify:album:4yP0hdKOZPNshxUOjY0cZj,100,0.00146,0.514,0.73,9.54e-05,1.0,0.0897,-5.934,1.0,0.0598,171.005,4.0,0.334
3,Toosie Slide,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",hot-100,spotify:track:127QTOFJsJQp5LbJbu3A1y,spotify:album:3xIwVbGJuAcovYIhzbLO3J,97,0.321,0.834,0.454,6.15e-06,1.0,0.114,-9.75,0.0,0.201,81.618,4.0,0.837
4,The Box,Roddy Ricch,['melodic rap'],hot-100,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,spotify:album:52u4anZbHd6UInnmHRFzba,97,0.104,0.896,0.586,0.0,10.0,0.79,-6.687,0.0,0.0559,116.971,4.0,0.642
5,Pain 1993,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",hot-100,spotify:track:6Kj17Afjo1OKJYpf5VzCeo,spotify:album:6OQ9gBfg5EXeNAEwGSs6jK,88,0.163,0.825,0.373,0.0,5.0,0.368,-5.532,0.0,0.108,77.271,4.0,0.12
6,Circles,Post Malone,"['dfw rap', 'melodic rap', 'rap']",hot-100,spotify:track:21jGcNKet2qwijlDFuPiPb,spotify:album:4g1ZRSobMefqF6nelkgibi,94,0.192,0.695,0.762,0.00244,0.0,0.0863,-3.497,1.0,0.0395,120.042,4.0,0.553
7,Rockstar,DaBaby,"['nc hip hop', 'rap']",hot-100,spotify:track:7ytR5pFWmSjzHJIeQkgog4,spotify:album:623PL2MBg50Br5dLXC9E9e,96,0.247,0.746,0.69,0.0,11.0,0.101,-7.956,1.0,0.164,89.977,4.0,0.497
8,Intentions,Justin Bieber,"['canadian pop', 'pop', 'post-teen pop']",hot-100,spotify:track:364dI1bYnvamSnBJ8JcNzN,spotify:album:55zg331p7m1EFA4uRggkwt,91,0.317,0.811,0.553,0.0,9.0,0.105,-6.644,1.0,0.0552,148.014,4.0,0.86
9,Adore You,Harry Styles,"['pop', 'post-teen pop']",hot-100,spotify:track:1M4qEo4HE3PRaCOM7EXNJq,spotify:album:5SL9nXZYZZl68bHwaM8uLa,88,0.0237,0.676,0.771,7e-06,8.0,0.102,-3.675,1.0,0.0483,99.048,4.0,0.569
10,The Scotts,THE SCOTTS,[],hot-100,spotify:track:39Yp9wwQiSRIDOvrVg7mbk,spotify:album:7q6zjWaLw8bN5nYiBWjrus,97,0.233,0.716,0.537,0.0,0.0,0.157,-7.648,0.0,0.0514,129.979,4.0,0.28
11,Life Is Good,Future,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",hot-100,spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc,spotify:album:5uCEoLCj3ZZZ1EtzQdQWVl,92,0.0706,0.676,0.609,0.0,2.0,0.152,-5.831,0.0,0.481,142.037,4.0,0.508
12,Chicago Freestyle,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",hot-100,spotify:track:4wVOKKEHUJxHCFFNUWDn0B,spotify:album:6OQ9gBfg5EXeNAEwGSs6jK,86,0.629,0.735,0.449,0.0,10.0,0.113,-7.507,1.0,0.347,122.947,4.0,0.0397
13,The Bones,Maren Morris,"['contemporary country', 'pop', 'texas country']",hot-100,spotify:track:1yTTMcUhL7rtz08Dsgb7Qb,spotify:album:6HzebUNgGlzC1AMBwHGIkH,78,0.286,0.561,0.597,0.0,11.0,0.0979,-6.0,0.0,0.0405,76.826,4.0,0.355
14,My Oh My,Camila Cabello,"['dance pop', 'pop', 'post-teen pop']",hot-100,spotify:track:3yOlyBJuViE2YSGn3nVE1K,spotify:album:3Vsbl0diFGw8HNSjG8ue9m,88,0.018,0.724,0.491,1.29e-05,8.0,0.0887,-6.024,1.0,0.0296,105.046,4.0,0.383
15,Everything I Wanted,Billie Eilish,"['electropop', 'pop']",hot-100,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,spotify:album:4i3rAwPw7Ln2YrKDusaWyT,91,0.902,0.704,0.225,0.657,6.0,0.106,-14.454,0.0,0.0994,120.006,4.0,0.243
16,Someone You Loved,Lewis Capaldi,"['pop', 'uk pop']",hot-100,spotify:track:7qEHsqek33rTcFNT9PFqLf,spotify:album:5658aM19fA3JVwTK6eQX70,92,0.751,0.501,0.405,0.0,1.0,0.105,-5.679,1.0,0.0319,109.891,4.0,0.446
17,D4L,Future,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",hot-100,spotify:track:5fHrHoJKfCgBd35zwIBmUK,spotify:album:6OQ9gBfg5EXeNAEwGSs6jK,82,0.0128,0.718,0.706,0.0,1.0,0.352,-5.709,1.0,0.06,170.004,4.0,0.815
18,Roses (Imanbek Remix),SAINt JHN,"['melodic rap', 'pop rap', 'rap', 'trap']",hot-100,spotify:track:24Yi9hE78yPEbZ4kxyoXAI,spotify:album:3GqSdhWjmMypMwPLtzoFYs,97,0.0167,0.77,0.724,0.0107,8.0,0.353,-5.484,1.0,0.0495,121.975,4.0,0.898
19,I Hope,Gabby Barrett,"['contemporary country', 'country pop']",hot-100,spotify:track:7ySPksJKRpoLlIaE31Yijc,spotify:album:68R4O2qkS0NACINdL0jpFu,65,0.171,0.554,0.576,0.0,6.0,0.159,-6.495,1.0,0.0399,74.942,4.0,0.409
20,Blueberry Faygo,Lil Mosey,"['melodic rap', 'rap conscient', 'trap', 'vapor trap']",hot-100,spotify:track:6wJYhPfqk3KGhHRG76WzOh,spotify:album:6rBennOYWR1OZQnsU39PKL,94,0.207,0.774,0.554,0.0,0.0,0.132,-7.909,1.0,0.0383,99.034,4.0,0.349
21,Chasin' You,Morgan Wallen,"['contemporary country', 'country road', 'deep talent show']",hot-100,spotify:track:5MwynWK9s4hlyKHqhkNn4A,spotify:album:1IR2nlwX6YVTXXeu2qzoWO,81,0.657,0.631,0.591,0.0,7.0,0.11,-5.785,1.0,0.0277,97.074,4.0,0.489
22,Nobody But You,Blake Shelton Duet,"['contemporary country', 'country road', 'deep talent show']",hot-100,spotify:track:5M8goiFYynmNxhueYW6grR,spotify:album:4Kd33JPxTOcjTM29FrKoyT,77,0.111,0.463,0.653,0.000136,0.0,0.172,-5.515,1.0,0.0273,143.912,4.0,0.233
23,Not You Too,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",hot-100,spotify:track:3Q4gttWQ6hxqWOa3tHoTNi,spotify:album:6OQ9gBfg5EXeNAEwGSs6jK,81,0.342,0.458,0.452,1.94e-05,9.0,0.0703,-9.299,0.0,0.047,86.318,4.0,0.316
24,Memories,Maroon 5,"['pop', 'pop rock']",hot-100,spotify:track:2b8fOow8UzyDFAE27YhOZM,spotify:album:3nR9B40hYLKLcR0Eph3Goc,92,0.837,0.764,0.32,0.0,11.0,0.0822,-7.209,1.0,0.0546,91.019,4.0,0.575
25,Desires,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",hot-100,spotify:track:7eYAHC0RbBF9eaqWzT34Aq,spotify:album:6OQ9gBfg5EXeNAEwGSs6jK,81,0.281,0.812,0.506,0.0,5.0,0.325,-7.706,0.0,0.116,145.074,4.0,0.554
26,Falling,Trevor Daniel,"['alternative r&b', 'melodic rap', 'pop rap']",hot-100,spotify:track:4TnjEaWOeW0eKTKIEvJyCa,spotify:album:1Czfd5tEby3DbdYNdqzrCa,93,0.123,0.784,0.43,0.0,10.0,0.0887,-8.756,0.0,0.0364,127.087,4.0,0.236
27,Be Kind,Marshmello ,[],hot-100,spotify:track:3Z8FwOEN59mRMxDCtb8N0A,spotify:album:1eleCBhP2R8TXEDquvybwC,89,0.00776,0.63,0.633,0.0,4.0,0.0541,-7.088,1.0,0.0457,93.995,4.0,0.452
28,Time Flies,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",hot-100,spotify:track:5H4mXWKcicuLKDn4Jy0sK7,spotify:album:6OQ9gBfg5EXeNAEwGSs6jK,82,0.201,0.864,0.477,0.0,10.0,0.182,-5.786,1.0,0.224,86.46,4.0,0.5
29,Death Bed,Powfu,[],hot-100,spotify:track:7eJMfftS33KTjuF7lTsMCx,spotify:album:2p9gK2BcdrloHNJwarc9gc,98,0.731,0.726,0.431,0.0,8.0,0.696,-8.765,0.0,0.135,144.026,4.0,0.348
30,Deep Pockets,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",hot-100,spotify:track:3IvMYBE7A3c7to1aEcfFJk,spotify:album:6OQ9gBfg5EXeNAEwGSs6jK,79,0.482,0.473,0.824,0.0,7.0,0.605,-3.68,0.0,0.163,77.888,4.0,0.374
31,High Fashion,Roddy Ricch,['melodic rap'],hot-100,spotify:track:07KXEDMj78x68D884wgVEm,spotify:album:52u4anZbHd6UInnmHRFzba,88,0.269,0.831,0.499,0.0,11.0,0.3,-8.442,0.0,0.114,97.956,4.0,0.511
32,Demons,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",hot-100,spotify:track:05aZ9sAU1YXndHv0FMi9iW,spotify:album:6OQ9gBfg5EXeNAEwGSs6jK,82,0.423,0.543,0.766,0.0,0.0,0.155,-3.387,0.0,0.343,106.869,3.0,0.729
33,When To Say When,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",hot-100,spotify:track:5TCBWmEBrin7etRa4Lswr1,spotify:album:6OQ9gBfg5EXeNAEwGSs6jK,79,0.252,0.41,0.82,0.0,1.0,0.538,-6.808,1.0,0.533,170.718,4.0,0.526
34,Does To Me,Luke Combs,['contemporary country'],hot-100,spotify:track:0nGXi46VcQQ56ZJR428MKS,spotify:album:0S9D5NIDp2YXhYwlvuJzqx,73,0.311,0.616,0.849,0.0,0.0,0.311,-4.897,1.0,0.0373,113.065,4.0,0.638
35,Sunday Best,Surfaces,"['bedroom soul', 'pop']",hot-100,spotify:track:1Cv1YLb4q0RzL6pybtaMLo,spotify:album:3mMWlBGocBwsS1Q0o9wvlc,94,0.183,0.878,0.525,0.0,5.0,0.0714,-6.832,1.0,0.0578,112.022,4.0,0.694
36,Landed,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",hot-100,spotify:track:3KixNgUEaDtrKJVzdqjU5q,spotify:album:6OQ9gBfg5EXeNAEwGSs6jK,80,0.00606,0.881,0.636,0.0,7.0,0.111,-4.629,1.0,0.287,163.949,4.0,0.715
37,Break My Heart,Dua Lipa,"['dance pop', 'pop', 'uk pop']",hot-100,spotify:track:017PF4Q3l4DBUiWoXk4OWT,spotify:album:7fJJK56U9fHixgO0HQkhtI,90,0.167,0.73,0.729,1.39e-06,4.0,0.349,-3.434,0.0,0.0886,113.012,4.0,0.467
38,Beer Can't Fix,Thomas Rhett,"['contemporary country', 'country', 'country road', 'modern country rock']",hot-100,spotify:track:7idmHTAQQPUFqdjXkoooXD,spotify:album:5gnWhEFNbtCn0RLG2cp90g,77,0.0317,0.711,0.774,0.0,7.0,0.124,-4.068,1.0,0.0308,111.016,4.0,0.939
39,Righteous,Juice WRLD,"['chicago rap', 'melodic rap']",hot-100,spotify:track:0OyQns5ayNK2OVaES0Vb8t,spotify:album:5hxLDyEJV1IvgoAquaImWW,91,0.0397,0.707,0.622,0.0,0.0,0.149,-6.951,1.0,0.031,142.942,4.0,0.223
