artist,uri,followers,genres,popularity,decade,is_recommended,billboard
Garland Green,spotify:artist:3RY9bgHN1mRp5EX2wXF3NS,113,[],0,1960.0,1,
Serge Gainsbourg,spotify:artist:01C9OoXDvCKkGcf735Tcfo,316662,"['chanson', 'french rock']",61,1960.0,1,
Lord Melody,spotify:artist:5gyQ6QvPiTtPYLnifOEYld,2,[],0,1960.0,1,
Celia Cruz,spotify:artist:2weA6hhVqTIN2gSn9PUB9U,336456,"['cha-cha-cha', 'cuban rumba', 'latin', 'latin jazz', 'mambo', 'salsa', 'tropical']",66,1960.0,1,
P. Susheela,spotify:artist:0aFGod7DM6b3O5l1AmvFwK,100166,"['deep indian pop', 'filmi', 'tamil worship']",42,1960.0,1,
Ennio Morricone,spotify:artist:1nIUhcKHnK6iyumRyoV68C,567647,"['classic soundtrack', 'italian soundtrack', 'soundtrack', 'vintage italian soundtrack']",70,1960.0,0,
Antônio Carlos Jobim,spotify:artist:3pO5VjZ4wOHCMBXOvbMISG,373601,"['adult standards', 'bossa nova', 'brazilian jazz', 'latin classical', 'mpb', 'violao']",70,1960.0,1,
Marv Johnson,spotify:artist:40PAEtNxO98lBeQHCza9vA,11099,"['motown', 'rhythm and blues']",26,1960.0,1,
Caetano Veloso,spotify:artist:7HGNYPmbDrMkylWqeFCOIQ,1226003,"['bossa nova', 'mpb', 'samba de roda']",71,1960.0,0,
The Beach Boys,spotify:artist:3oDbviiivRWhXwIE8hxkVV,2557106,"['baroque pop', 'brill building pop', 'classic rock', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",76,1960.0,0,
Jerry Goldsmith,spotify:artist:7t8q7ikEtcPNtoaKAm9Vu6,54069,"['classic soundtrack', 'scorecore', 'soundtrack', 'theme']",54,1960.0,1,
Roy Orbison,spotify:artist:0JDkhL4rjiPNEp92jAgJnS,963058,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'rock-and-roll', 'rockabilly', 'soft rock']",70,1960.0,0,
Luiz Gonzaga,spotify:artist:2ZofT7n9AlTKf7KDCoHGgD,262521,"['accordion', 'baiao', 'forro', 'forro tradicional', 'mpb', 'samba', 'velha guarda']",55,1960.0,1,
Jimmy Dean,spotify:artist:1RaDKTFXuy0qA8YV1h9SwC,43337,['nashville sound'],47,1960.0,1,
Mary Wells,spotify:artist:1cjZk1xXn3YCToNg3uJpA7,170249,"['brill building pop', 'classic soul', 'funk', 'motown', 'soul']",57,1960.0,1,
Leño,spotify:artist:1p2qEovTEiK39UsyaO3f5B,9273,"['brega', 'jovem guarda']",30,1960.0,1,
