artist,uri,followers,genres,popularity
Garland Green,spotify:artist:3RY9bgHN1mRp5EX2wXF3NS,113,[],0
Serge Gainsbourg,spotify:artist:01C9OoXDvCKkGcf735Tcfo,316454,"['chanson', 'french rock']",61
Lord Melody,spotify:artist:5gyQ6QvPiTtPYLnifOEYld,2,[],0
Celia Cruz,spotify:artist:2weA6hhVqTIN2gSn9PUB9U,336242,"['cha-cha-cha', 'cuban rumba', 'latin', 'latin jazz', 'mambo', 'salsa', 'tropical']",66
P. Susheela,spotify:artist:0aFGod7DM6b3O5l1AmvFwK,99914,"['deep indian pop', 'filmi', 'tamil worship']",42
Ennio Morricone,spotify:artist:1nIUhcKHnK6iyumRyoV68C,567400,"['classic soundtrack', 'italian soundtrack', 'soundtrack', 'vintage italian soundtrack']",70
Antônio Carlos Jobim,spotify:artist:3pO5VjZ4wOHCMBXOvbMISG,373352,"['adult standards', 'bossa nova', 'brazilian jazz', 'latin classical', 'mpb', 'violao']",70
Marv Johnson,spotify:artist:40PAEtNxO98lBeQHCza9vA,11085,"['motown', 'rhythm and blues']",26
Caetano Veloso,spotify:artist:7HGNYPmbDrMkylWqeFCOIQ,1225222,"['bossa nova', 'mpb', 'samba de roda']",71
The Beach Boys,spotify:artist:3oDbviiivRWhXwIE8hxkVV,2554177,"['baroque pop', 'brill building pop', 'classic rock', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",76
Jerry Goldsmith,spotify:artist:7t8q7ikEtcPNtoaKAm9Vu6,54028,"['classic soundtrack', 'scorecore', 'soundtrack', 'theme']",54
Roy Orbison,spotify:artist:0JDkhL4rjiPNEp92jAgJnS,961986,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'rock-and-roll', 'rockabilly', 'soft rock']",70
Luiz Gonzaga,spotify:artist:2ZofT7n9AlTKf7KDCoHGgD,262274,"['accordion', 'baiao', 'forro', 'forro tradicional', 'mpb', 'samba', 'velha guarda']",55
Jimmy Dean,spotify:artist:1RaDKTFXuy0qA8YV1h9SwC,43259,['nashville sound'],47
Mary Wells,spotify:artist:1cjZk1xXn3YCToNg3uJpA7,170064,"['brill building pop', 'classic soul', 'funk', 'motown', 'soul']",57
Leño,spotify:artist:1p2qEovTEiK39UsyaO3f5B,9273,"['brega', 'jovem guarda']",30
Jackie Wilson,spotify:artist:4VnomLtKTm9Ahe1tZfmZju,259412,"['adult standards', 'brill building pop', 'chicago soul', 'classic soul', 'motown', 'quiet storm', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']",63
