artist,uri,followers,genres,popularity,billboard
Garland Green,spotify:artist:3RY9bgHN1mRp5EX2wXF3NS,113,[],0,1
Serge Gainsbourg,spotify:artist:01C9OoXDvCKkGcf735Tcfo,316454,"['chanson', 'french rock']",61,0
Lord Melody,spotify:artist:5gyQ6QvPiTtPYLnifOEYld,2,[],0,0
Celia Cruz,spotify:artist:2weA6hhVqTIN2gSn9PUB9U,336242,"['cha-cha-cha', 'cuban rumba', 'latin', 'latin jazz', 'mambo', 'salsa', 'tropical']",66,0
P. Susheela,spotify:artist:0aFGod7DM6b3O5l1AmvFwK,99914,"['deep indian pop', 'filmi', 'tamil worship']",42,0
Ennio Morricone,spotify:artist:1nIUhcKHnK6iyumRyoV68C,567400,"['classic soundtrack', 'italian soundtrack', 'soundtrack', 'vintage italian soundtrack']",70,0
Antônio Carlos Jobim,spotify:artist:3pO5VjZ4wOHCMBXOvbMISG,373352,"['adult standards', 'bossa nova', 'brazilian jazz', 'latin classical', 'mpb', 'violao']",70,0
Marv Johnson,spotify:artist:40PAEtNxO98lBeQHCza9vA,11085,"['motown', 'rhythm and blues']",26,1
Caetano Veloso,spotify:artist:7HGNYPmbDrMkylWqeFCOIQ,1225222,"['bossa nova', 'mpb', 'samba de roda']",71,0
The Beach Boys,spotify:artist:3oDbviiivRWhXwIE8hxkVV,2554177,"['baroque pop', 'brill building pop', 'classic rock', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",76,1
Jerry Goldsmith,spotify:artist:7t8q7ikEtcPNtoaKAm9Vu6,54028,"['classic soundtrack', 'scorecore', 'soundtrack', 'theme']",54,0
Roy Orbison,spotify:artist:0JDkhL4rjiPNEp92jAgJnS,961986,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'rock-and-roll', 'rockabilly', 'soft rock']",70,1
Luiz Gonzaga,spotify:artist:2ZofT7n9AlTKf7KDCoHGgD,262274,"['accordion', 'baiao', 'forro', 'forro tradicional', 'mpb', 'samba', 'velha guarda']",55,0
Jimmy Dean,spotify:artist:1RaDKTFXuy0qA8YV1h9SwC,43259,['nashville sound'],47,1
Mary Wells,spotify:artist:1cjZk1xXn3YCToNg3uJpA7,170064,"['brill building pop', 'classic soul', 'funk', 'motown', 'soul']",57,1
Leño,spotify:artist:1p2qEovTEiK39UsyaO3f5B,9273,"['brega', 'jovem guarda']",30,0
Jackie Wilson,spotify:artist:4VnomLtKTm9Ahe1tZfmZju,259412,"['adult standards', 'brill building pop', 'chicago soul', 'classic soul', 'motown', 'quiet storm', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']",63,1
Staatskapelle Berlin,spotify:artist:7vEPPI71V8dEHtEhPMAxWT,3173,['orchestra'],50,0
Shirley & Lee,spotify:artist:7kowgNVIlvDxx9Uhvcft5Y,6421,"['doo-wop', 'rhythm and blues']",35,1
The Everly Brothers,spotify:artist:4ACplpEqD6JIVgKrafauzs,416409,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly', 'sunshine pop']",63,1
Stevie Wonder,spotify:artist:7guDJrEfX3qb6FEbdPA5qi,4224992,"['adult standards', 'funk', 'motown', 'quiet storm', 'soul']",79,1
Traditional,spotify:artist:1U5zgr455OGyIkLNXvDdrf,27045,['sleep'],64,0
Scott Walker,spotify:artist:04tBaW21jyUfeP5iqiKBVq,81208,"['art pop', 'art rock', 'baroque pop', 'chamber pop', 'experimental', 'experimental rock', 'melancholia', 'post-punk', 'singer-songwriter', 'slow core']",50,0
Giacomo Puccini,spotify:artist:0OzxPXyowUEQ532c9AmHUR,253225,"['classical', 'italian opera', 'post-romantic era']",65,0
Ernie K-Doe,spotify:artist:3ybBNyjii40yY104IZkcly,5130,"['louisiana blues', 'new orleans blues', 'new orleans funk', 'rhythm and blues']",32,1
Bobby Vee,spotify:artist:5MX2l6ewjOaeWn1lYNhzlO,113980,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'folk rock', 'merseybeat', 'rock-and-roll', 'rockabilly']",54,1
The Beatles,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,16119928,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",89,1
Frank Zappa,spotify:artist:6ra4GIOgCZQZMOaUECftGN,523402,"['album rock', 'art rock', 'classic rock', 'experimental', 'experimental rock', 'hard rock', 'instrumental rock', 'jazz fusion', 'jazz rock', 'progressive rock', 'protopunk', 'psychedelic rock', 'rock', 'symphonic rock', 'zolo']",62,0
Enrique Guzman,spotify:artist:4FeDV8T2wgjzYKBamSp7MG,253644,"['bolero', 'latin pop', 'mexican rock-and-roll', 'ranchera']",56,0
Ray Charles,spotify:artist:1eYhYunlNJlDoQhtYBvPsi,1539650,"['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul', 'soul blues', 'vocal jazz']",69,1
Fritz Kreisler,spotify:artist:0HdNDZaNm7xLt18v9aWDfe,21446,"['classical', 'post-romantic era', 'violin']",49,0
Jerry Adriani,spotify:artist:5OBXrPtAgpRVJgua6rgbs6,51034,"['brega', 'jovem guarda']",37,0
Gerardo Reyes,spotify:artist:2HdTW6TLACOcKKsUaRdP0e,192638,"['banda', 'grupera', 'mariachi', 'norteno', 'ranchera', 'regional mexican']",54,0
Ike & Tina Turner,spotify:artist:1ZikppG9dPedbIgMfnfx8k,148828,"['brill building pop', 'classic soul', 'motown', 'soul', 'southern soul']",59,1
Joan Manuel Serrat,spotify:artist:1t7t8q4zoYHp22JLIx3FM7,609964,"['cantautor', 'nova canco', 'nueva cancion', 'spanish pop', 'trova']",65,0
The Happenings,spotify:artist:5ojumrbWWohLIuzArVoyDs,12310,"['brill building pop', 'bubblegum pop', 'merseybeat']",37,1
The Supremes,spotify:artist:57bUPid8xztkieZfS7OlEV,1041096,"['adult standards', 'brill building pop', 'classic girl group', 'disco', 'folk rock', 'funk', 'motown', 'quiet storm', 'soul']",69,1
Tito Rodriguez,spotify:artist:10n4KkyM4UDt4pf9H4aDlS,42107,"['bolero', 'charanga', 'latin jazz', 'mambo', 'salsa', 'salsa international', 'salsa puertorriquena']",45,0
Jr. Walker & The All Stars,spotify:artist:1rHh0AI30JhKrbzKIFjFNd,118155,"['brill building pop', 'classic soul', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']",55,1
Marvin Gaye,spotify:artist:3koiLjNrgRTNbOwViDipeA,3344873,"['classic soul', 'funk', 'motown', 'northern soul', 'quiet storm', 'soul']",77,1
Tony Bennett,spotify:artist:2lolQgalUvZDfp5vvVtTYV,522669,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",65,1
Mark Van Doren,spotify:artist:5YJUZtl4FjYDHnJfR2ysEI,28,['poetry'],0,0
La Sonora Matancera,spotify:artist:01p7Homi0d4XxZ06f2NYYD,103621,"['bolero', 'cumbia', 'latin jazz', 'mambo', 'salsa', 'tropical']",58,0
Yusef Lateef,spotify:artist:33XkS6h90eeK7e6OJHw0mq,53751,"['avant-garde', 'avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz saxophone', 'soul jazz']",49,0
The Staple Singers,spotify:artist:7xGGqA85UIWX1GoTVM4itC,179418,"['brill building pop', 'chicago soul', 'classic soul', 'funk', 'memphis soul', 'motown', 'quiet storm', 'soul', 'southern soul']",59,1
Maynard Ferguson,spotify:artist:6T4kUHIlszpj944ZXR3yNw,36615,"['big band', 'jazz orchestra', 'jazz trumpet']",42,0
Los Teen Tops,spotify:artist:14GfQ6EEHnp1lTAWHgtcYy,75767,"['bolero', 'mexican classic rock', 'mexican rock-and-roll', 'ranchera', 'rockabilly en espanol']",50,0
Don Hinson & The Rigamorticians,spotify:artist:6GNXV11gvYYegW2APslNlN,2319,['halloween'],17,0
Nelson Gonçalves,spotify:artist:2wi99swSP87YaFjVOI3zGJ,134353,"['bossa nova', 'brega', 'forro', 'mpb', 'samba', 'velha guarda']",49,0
Jim Reeves,spotify:artist:2Ev0e8GUIX4u7d9etNLTXg,212038,"['adult standards', 'nashville sound']",59,1
Paulinho Nogueira,spotify:artist:5ReVxzuREWusYE4ovnMbBn,14567,"['bossa nova', 'brazilian composition', 'choro', 'velha guarda', 'violao']",38,0
Charles Aznavour,spotify:artist:2hgP9Ap2tc10R5jrQaEpMT,550425,['chanson'],66,0
Victor Jara,spotify:artist:440MEFxEmF9othCXbz3Y6a,202035,"['andean', 'cantautor', 'nueva cancion', 'trova']",51,0
Neil Sedaka,spotify:artist:5N6GwJzOcOY5kv8p0NjhYL,255004,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'lounge', 'mellow gold', 'merseybeat', 'rockabilly', 'soft rock']",60,1
David Lindup,spotify:artist:6ZdZ5KLXDClqCitUzR52TR,655,"['library music', 'spytrack']",20,0
Jerry Landis,spotify:artist:4YlWCM8IUxwfkvjG7GjaCt,65,[],8,1
Johnny Preston,spotify:artist:1B8n8vtEeexQ5NKehHTkeo,9791,"['brill building pop', 'deep adult standards', 'rhythm and blues', 'rock-and-roll', 'rockabilly']",36,1
Barbara Mason,spotify:artist:5PmZd7YOaUgQwhOja44fmZ,60171,"['classic soul', 'funk', 'motown', 'philly soul', 'quiet storm', 'southern soul']",47,1
Pérez Prado,spotify:artist:1ZKhPkCXXgtiGgALn4OYtT,43785,"['bolero', 'latin jazz', 'mambo', 'space age pop']",53,0
Ben E. King,spotify:artist:3plJVWt88EqjvtuB4ZDRV3,328187,"['adult standards', 'brill building pop', 'motown', 'rock-and-roll', 'soul', 'southern soul']",67,1
Diana Ross & The Supremes,spotify:artist:0rXI0q8Cahq6numvPlloaq,56643,"['classic girl group', 'motown']",52,1
Betty Everett,spotify:artist:53jXEVVJtpaWVQ3ffvhDtl,14590,"['brill building pop', 'chicago soul', 'classic soul', 'motown', 'rhythm and blues', 'soul', 'southern soul']",45,1
Sir Douglas Quintet,spotify:artist:3A2UXqQgMDJ3YNvLPyX5NW,8398,"['bubblegum pop', 'classic garage rock', 'cosmic american', 'country rock', 'pub rock']",38,1
Johnny Lytle,spotify:artist:1YENA5yMZMS2ta6wzLKWPg,1109,"['jazz vibraphone', 'soul jazz']",18,1
The Archies,spotify:artist:33QmoCkSqADuQEtMCysYLh,62021,"['brill building pop', 'bubblegum pop', 'classic canadian rock', 'folk rock']",60,1
Bobby Goldsboro,spotify:artist:5gPEo032lzARtzuVqJIm9o,67436,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'folk', 'folk rock', 'lounge', 'mellow gold', 'merseybeat', 'rock-and-roll', 'soft rock']",51,1
The Exciters,spotify:artist:2GF1B0GIaFrLFLdfH6ufRO,10783,"['brill building pop', 'classic girl group', 'motown', 'northern soul']",40,1
The Marketts,spotify:artist:2W9dD4SfW7p19JtzRgWGjz,6207,['surf music'],35,1
The Box Tops,spotify:artist:3KGQvnOoqUHi3KxKQMZtXr,82526,"['brill building pop', 'bubblegum pop', 'classic rock', 'folk rock', 'merseybeat']",52,1
