id,name,rank,genre,soundcloud_track_id,playcount_all,playcount_weekly,artist
784081648,Turks (feat. Travis Scott),1,Rap,784081648,1059501,108211,NAV
786506983,Hichkas - Rosva [Prod. Mahdyar],2,Hip-hop & Rap,786506983,254622,85395,Hichkas
786506959,Hichkas - To Koja Boodi? [Prod. Mahdyar],3,Hip-hop & Rap,786506959,160854,57353,Hichkas
786506899,Hichkas - Man Kiam? (ft. Fadaei) [Prod. Mahdyar],4,Hip-hop & Rap,786506899,143904,51120,Hichkas
786506938,Hichkas - Sakhte Mosalmoon Boodan [Prod. Mahdyar],5,Hip-hop & Rap,786506938,126727,46065,Hichkas
786506923,Hichkas - Ghazi Mano Doost Dasht [Prod. Mahdyar],6,Hip-hop & Rap,786506923,120585,43690,Hichkas
786506827,"Hichkas - Shabi Gorga (ft. Quf) [Prod. Hekmat, Mahdyar]",7,Hip-hop & Rap,786506827,126860,43261,Hichkas
782582842,Sleepy Hallow - deep end,8,Hip Hop,782582842,852379,41527,TheNycPlug
786506890,"Hichkas - Chera Nemimiri? [Prod. Hekmat, Mahdyar]",9,Hip-hop & Rap,786506890,113683,39934,Hichkas
785489080,Bad Taste feat.ChrisIsDead (Prod. allvert),10,Hip-hop & Rap,785489080,184555,39045,lildipper
786506779,Hichkas - Jadval o Roya [Prod. Mahdyar],11,Hip-hop & Rap,786506779,115695,38053,Hichkas
786506848,"Hichkas - Khalafkaraye Asli [Prod. Hekmat, Mahdyar]",12,Hip-hop & Rap,786506848,104343,36626,Hichkas
786506875,Hichkas - Az Ashnayitoon Khoshhalam [Prod. Mahdyar],13,Hip-hop & Rap,786506875,103288,36429,Hichkas
786506704,Hichkas - Mahze Mokhalefat [Prod. Mahdyar],14,Hip-hop & Rap,786506704,110898,36401,Hichkas
786506746,"Hichkas - Ye Maks [Prod. Hassan, Mahdyar]",15,Hip-hop & Rap,786506746,108353,35845,Hichkas
786506725,Hichkas - Ki Mige? (ft. Reveal) [Prod. Mahdyar],16,Hip-hop & Rap,786506725,107740,35286,Hichkas
786506806,Hichkas - Teroreshoon Kon [Prod. Mahdyar],17,Hip-hop & Rap,786506806,100836,34463,Hichkas
786506761,"Hichkas - Sheytoone Mige [Prod. Hassan, Mahdyar]",18,Hip-hop & Rap,786506761,103316,34189,Hichkas
783155914,Get Out,19,Hip-hop & Rap,783155914,391772,30996,COMETHAZINE
786506683,Hichkas - Va Zir [Prod. Mahdyar],20,Hip-hop & Rap,786506683,89160,30618,Hichkas
784122826,PARTYNEXTDOOR & Rihanna - BELIEVE IT,21,R&B,784122826,260894,29292,partyomo
783914911,Only The Team (with Lil Mosey & Lil Tjay),22,Hip Hop,783914911,307108,29070,Rvssian
784627555,مهرجان محدش يتوقعنى 💪 ( بعد يا عيني وبعد ياليلي ) عبده سيطره - توز,23,,784627555,193647,26070,MUhammad IBra AlSiraj
