,title,artist,image,weeks,chart
0,Say So,Doja Cat Featuring Nicki Minaj,,18.0,hot-100
1,Savage,Megan Thee Stallion Featuring Beyonce,,8.0,hot-100
2,Blinding Lights,The Weeknd,,23.0,hot-100
3,Toosie Slide,Drake,,5.0,hot-100
4,The Box,Roddy Ricch,,22.0,hot-100
5,Don't Start Now,Dua Lipa,,27.0,hot-100
6,Pain 1993,Drake Featuring Playboi Carti,,1.0,hot-100
7,Circles,Post Malone,,36.0,hot-100
8,Rockstar,DaBaby Featuring Roddy Ricch,,3.0,hot-100
9,Intentions,Justin Bieber Featuring Quavo,,13.0,hot-100
10,Adore You,Harry Styles,,22.0,hot-100
11,The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",,2.0,hot-100
12,Life Is Good,Future Featuring Drake,,17.0,hot-100
13,Chicago Freestyle,Drake Featuring Giveon,,1.0,hot-100
14,The Bones,Maren Morris,,33.0,hot-100
15,My Oh My,Camila Cabello Featuring DaBaby,,22.0,hot-100
16,Everything I Wanted,Billie Eilish,,26.0,hot-100
17,Someone You Loved,Lewis Capaldi,,52.0,hot-100
18,D4L,"Future, Drake & Young Thug",,1.0,hot-100
19,Roses (Imanbek Remix),SAINt JHN,,7.0,hot-100
20,I Hope,Gabby Barrett,,19.0,hot-100
21,Blueberry Faygo,Lil Mosey,,13.0,hot-100
22,Chasin' You,Morgan Wallen,,15.0,hot-100
23,Nobody But You,Blake Shelton Duet With Gwen Stefani,,17.0,hot-100
24,Not You Too,Drake Featuring Chris Brown,,1.0,hot-100
25,Memories,Maroon 5,,33.0,hot-100
26,Desires,Drake Featuring Future,,1.0,hot-100
27,Falling,Trevor Daniel,,25.0,hot-100
28,Be Kind,Marshmello & Halsey,,1.0,hot-100
29,Time Flies,Drake,,1.0,hot-100
30,Death Bed,Powfu Featuring beabadoobee,,8.0,hot-100
31,Deep Pockets,Drake,,1.0,hot-100
32,High Fashion,Roddy Ricch Featuring Mustard,,19.0,hot-100
33,Demons,Drake Featuring Fivio Foreign & Sosa Geek,,1.0,hot-100
34,When To Say When,Drake,,1.0,hot-100
35,Does To Me,Luke Combs Featuring Eric Church,,8.0,hot-100
36,Sunday Best,Surfaces,,10.0,hot-100
37,RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,,24.0,hot-100
38,Landed,Drake,,1.0,hot-100
39,Break My Heart,Dua Lipa,,6.0,hot-100
40,Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,,8.0,hot-100
41,Righteous,Juice WRLD,,2.0,hot-100
42,Hot Girl Bummer,blackbear,,34.0,hot-100
43,Whats Poppin,Jack Harlow,,13.0,hot-100
44,From Florida With Love,Drake,,1.0,hot-100
45,Heart On Ice,Rod Wave,,26.0,hot-100
46,Ballin',Mustard & Roddy Ricch,,42.0,hot-100
47,After A Few,Travis Denning,,6.0,hot-100
48,Dance Monkey,Tones And I,,31.0,hot-100
49,I Hope You're Happy Now,Carly Pearce & Lee Brice,,18.0,hot-100
50,Losses,Drake,,1.0,hot-100
51,War,Drake,,1.0,hot-100
52,Before You Go,Lewis Capaldi,,14.0,hot-100
53,Supalonely,BENEE Featuring Gus Dapperton,,8.0,hot-100
54,Hard To Forget,Sam Hunt,,6.0,hot-100
55,Emotionally Scarred,Lil Baby,,10.0,hot-100
56,Sum 2 Prove,Lil Baby,,17.0,hot-100
57,Six Feet Apart,Luke Combs,,1.0,hot-100
58,All In,Lil Baby,,2.0,hot-100
59,Level Of Concern,twenty one pilots,,4.0,hot-100
60,We Paid,Lil Baby & 42 Dugg,,1.0,hot-100
61,In Your Eyes,The Weeknd,,7.0,hot-100
62,Dior,Pop Smoke,,12.0,hot-100
63,Party Girl,StaySolidRocky,,2.0,hot-100
64,Social Distancing,Lil Baby,,1.0,hot-100
65,Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,,15.0,hot-100
66,Walk Em Down,NLE Choppa Featuring Roddy Ricch,,7.0,hot-100
67,Here And Now,Kenny Chesney,,5.0,hot-100
68,More Hearts Than Mine,Ingrid Andress,,19.0,hot-100
69,I Love Me,Demi Lovato,,9.0,hot-100
70,If The World Was Ending,JP Saxe Featuring Julia Michaels,,6.0,hot-100
71,I'm Ready,Sam Smith & Demi Lovato,,3.0,hot-100
72,Yo Perreo Sola,Bad Bunny,,8.0,hot-100
73,Ride It.,Regard,,4.0,hot-100
74,Slide,H.E.R. Featuring YG,,20.0,hot-100
75,Bluebird,Miranda Lambert,,5.0,hot-100
76,Out West,JACKBOYS Featuring Young Thug,,17.0,hot-100
77,Catch,Brett Young,,15.0,hot-100
78,P*$$y Fairy (OTW),Jhene Aiko,,16.0,hot-100
79,Believe It,PARTYNEXTDOOR & Rihanna,,6.0,hot-100
80,Low Down,Lil Baby,,1.0,hot-100
81,Godzilla,Eminem Featuring Juice WRLD,,16.0,hot-100
82,Jump,DaBaby Featuring YoungBoy Never Broke Again,,3.0,hot-100
83,After Party,Don Toliver,,3.0,hot-100
84,In Between,Scotty McCreery,,4.0,hot-100
85,Humble,Lil Baby,,1.0,hot-100
86,One Margarita,Luke Bryan,,1.0,hot-100
87,Grace,Lil Baby & 42 Dugg,,8.0,hot-100
88,God Whispered Your Name,Keith Urban,,3.0,hot-100
89,Slow Dance In A Parking Lot,Jordan Davis,,18.0,hot-100
90,Turks,"NAV, Gunna & Travis Scott",,6.0,hot-100
91,Homemade,Jake Owen,,15.0,hot-100
92,You Should Be Sad,Halsey,,17.0,hot-100
93,Die From A Broken Heart,Maddie & Tae,,4.0,hot-100
94,Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",,5.0,hot-100
95,Heatin Up,Lil Baby & Gunna,,7.0,hot-100
96,Come Thru,Summer Walker & Usher,,19.0,hot-100
97,Find My Way,DaBaby,,5.0,hot-100
98,I Love My Country,Florida Georgia Line,,3.0,hot-100
99,Don't Rush,Young T & Bugsey Featuring Headie One,,1.0,hot-100
100,Here And Now,Kenny Chesney,,1.0,billboard-200
101,Dark Lane Demo Tapes,Drake,,1.0,billboard-200
102,My Turn,Lil Baby,,10.0,billboard-200
103,BLAME IT ON BABY,DaBaby,,3.0,billboard-200
104,Eternal Atake,Lil Uzi Vert,,9.0,billboard-200
105,After Hours,The Weeknd,,7.0,billboard-200
106,Suga,Megan Thee Stallion,,9.0,billboard-200
107,Hollywood's Bleeding,Post Malone,,35.0,billboard-200
108,Hot Pink,Doja Cat,,27.0,billboard-200
109,YHLQMDLG,Bad Bunny,,10.0,billboard-200
110,Please Excuse Me For Being Antisocial,Roddy Ricch,,22.0,billboard-200
111,What You See Is What You Get,Luke Combs,,26.0,billboard-200
112,38 Baby 2,YoungBoy Never Broke Again,,2.0,billboard-200
113,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,,58.0,billboard-200
114,Chilombo,Jhene Aiko,,9.0,billboard-200
115,Future Nostalgia,Dua Lipa,,6.0,billboard-200
116,This One's For You,Luke Combs,,153.0,billboard-200
117,Pray 4 Love,Rod Wave,,5.0,billboard-200
118,Fine Line,Harry Styles,,21.0,billboard-200
119,ASTROWORLD,Travis Scott,,92.0,billboard-200
120,If I Know Me,Morgan Wallen,,84.0,billboard-200
121,"Dave's Picks: Volume 34: Jai-Alai Fronton, Miami, FL - 06/23/74",Grateful Dead,,1.0,billboard-200
122,Changes,Justin Bieber,,12.0,billboard-200
123,Frozen II,Soundtrack,,25.0,billboard-200
124,beerbongs & bentleys,Post Malone,,106.0,billboard-200
125,Greatest Hits,Queen,,385.0,billboard-200
126,Goodbye & Good Riddance,Juice WRLD,,103.0,billboard-200
127,SOUTHSIDE,Sam Hunt,,5.0,billboard-200
128,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,,51.0,billboard-200
129,"Meet The Woo, V.2",Pop Smoke,,13.0,billboard-200
130,Over It,Summer Walker,,31.0,billboard-200
131,Lover,Taylor Swift,,37.0,billboard-200
132,Good To Know,JoJo,,1.0,billboard-200
133,Graves Into Gardens,Elevation Worship,,1.0,billboard-200
134,Fully Loaded: God's Country,Blake Shelton,,21.0,billboard-200
135,Scorpion,Drake,,97.0,billboard-200
136,JACKBOYS,JACKBOYS,,19.0,billboard-200
137,The New Toronto 3,Tory Lanez,,4.0,billboard-200
138,Death Race For Love,Juice WRLD,,61.0,billboard-200
139,Legend: The Best Of...,Bob Marley And The Wailers,,625.0,billboard-200
