,artist,track,chart,tracks_uri,albums_uris,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,popularity
0,Doja Cat,Say So,hot-100,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,spotify:album:1MmVkhiwTH0BkNOU3nw5d3,,0.256,https://api.spotify.com/v1/audio-analysis/3Dv1eDb0MEgF93GpLXlucZ,0.787,237893.0,0.673,3Dv1eDb0MEgF93GpLXlucZ,3.57e-06,11.0,0.0904,-4.577,0.0,0.158,110.962,4.0,https://api.spotify.com/v1/tracks/3Dv1eDb0MEgF93GpLXlucZ,audio_features,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,0.786,96
1,Megan Thee Stallion,Savage,hot-100,spotify:track:55CHeLEfn5iJ0IIkgaa4si,spotify:album:6Lo6ylJg4qbFfxicPEOzMI,,0.0252,https://api.spotify.com/v1/audio-analysis/55CHeLEfn5iJ0IIkgaa4si,0.843,155497.0,0.741,55CHeLEfn5iJ0IIkgaa4si,0.0,11.0,0.096,-5.609,1.0,0.334,168.983,4.0,https://api.spotify.com/v1/tracks/55CHeLEfn5iJ0IIkgaa4si,audio_features,spotify:track:55CHeLEfn5iJ0IIkgaa4si,0.68,92
2,The Weeknd,Blinding Lights,hot-100,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,spotify:album:4yP0hdKOZPNshxUOjY0cZj,,0.00146,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,0.514,200040.0,0.73,0VjIjW4GlUZAMYd2vXMi3b,9.54e-05,1.0,0.0897,-5.934,1.0,0.0598,171.005,4.0,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,audio_features,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,0.334,100
3,Drake,Toosie Slide,hot-100,spotify:track:127QTOFJsJQp5LbJbu3A1y,spotify:album:3xIwVbGJuAcovYIhzbLO3J,,0.321,https://api.spotify.com/v1/audio-analysis/127QTOFJsJQp5LbJbu3A1y,0.834,247059.0,0.454,127QTOFJsJQp5LbJbu3A1y,6.15e-06,1.0,0.114,-9.75,0.0,0.201,81.618,4.0,https://api.spotify.com/v1/tracks/127QTOFJsJQp5LbJbu3A1y,audio_features,spotify:track:127QTOFJsJQp5LbJbu3A1y,0.837,97
4,Roddy Ricch,The Box,hot-100,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,spotify:album:52u4anZbHd6UInnmHRFzba,,0.104,https://api.spotify.com/v1/audio-analysis/0nbXyq5TXYPCO7pr3N8S4I,0.896,196653.0,0.586,0nbXyq5TXYPCO7pr3N8S4I,0.0,10.0,0.79,-6.687,0.0,0.0559,116.971,4.0,https://api.spotify.com/v1/tracks/0nbXyq5TXYPCO7pr3N8S4I,audio_features,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,0.642,97
5,Drake,Pain 1993,hot-100,spotify:track:6Kj17Afjo1OKJYpf5VzCeo,spotify:album:6OQ9gBfg5EXeNAEwGSs6jK,,0.163,https://api.spotify.com/v1/audio-analysis/6Kj17Afjo1OKJYpf5VzCeo,0.825,149078.0,0.373,6Kj17Afjo1OKJYpf5VzCeo,0.0,5.0,0.368,-5.532,0.0,0.108,77.271,4.0,https://api.spotify.com/v1/tracks/6Kj17Afjo1OKJYpf5VzCeo,audio_features,spotify:track:6Kj17Afjo1OKJYpf5VzCeo,0.12,88
6,Post Malone,Circles,hot-100,spotify:track:21jGcNKet2qwijlDFuPiPb,spotify:album:4g1ZRSobMefqF6nelkgibi,,0.192,https://api.spotify.com/v1/audio-analysis/21jGcNKet2qwijlDFuPiPb,0.695,215280.0,0.762,21jGcNKet2qwijlDFuPiPb,0.00244,0.0,0.0863,-3.497,1.0,0.0395,120.042,4.0,https://api.spotify.com/v1/tracks/21jGcNKet2qwijlDFuPiPb,audio_features,spotify:track:21jGcNKet2qwijlDFuPiPb,0.553,94
7,DaBaby,Rockstar,hot-100,spotify:track:7ytR5pFWmSjzHJIeQkgog4,spotify:album:623PL2MBg50Br5dLXC9E9e,,0.247,https://api.spotify.com/v1/audio-analysis/7ytR5pFWmSjzHJIeQkgog4,0.746,181733.0,0.69,7ytR5pFWmSjzHJIeQkgog4,0.0,11.0,0.101,-7.956,1.0,0.164,89.977,4.0,https://api.spotify.com/v1/tracks/7ytR5pFWmSjzHJIeQkgog4,audio_features,spotify:track:7ytR5pFWmSjzHJIeQkgog4,0.497,96
8,Justin Bieber,Intentions,hot-100,spotify:track:364dI1bYnvamSnBJ8JcNzN,spotify:album:55zg331p7m1EFA4uRggkwt,,0.317,https://api.spotify.com/v1/audio-analysis/364dI1bYnvamSnBJ8JcNzN,0.811,212869.0,0.553,364dI1bYnvamSnBJ8JcNzN,0.0,9.0,0.105,-6.644,1.0,0.0552,148.014,4.0,https://api.spotify.com/v1/tracks/364dI1bYnvamSnBJ8JcNzN,audio_features,spotify:track:364dI1bYnvamSnBJ8JcNzN,0.86,91
9,Harry Styles,Adore You,hot-100,spotify:track:1M4qEo4HE3PRaCOM7EXNJq,spotify:album:5SL9nXZYZZl68bHwaM8uLa,,0.0237,https://api.spotify.com/v1/audio-analysis/1M4qEo4HE3PRaCOM7EXNJq,0.676,207133.0,0.771,1M4qEo4HE3PRaCOM7EXNJq,7e-06,8.0,0.102,-3.675,1.0,0.0483,99.048,4.0,https://api.spotify.com/v1/tracks/1M4qEo4HE3PRaCOM7EXNJq,audio_features,spotify:track:1M4qEo4HE3PRaCOM7EXNJq,0.569,88
10,THE SCOTTS,The Scotts,hot-100,spotify:track:39Yp9wwQiSRIDOvrVg7mbk,spotify:album:7q6zjWaLw8bN5nYiBWjrus,,0.233,https://api.spotify.com/v1/audio-analysis/39Yp9wwQiSRIDOvrVg7mbk,0.716,165978.0,0.537,39Yp9wwQiSRIDOvrVg7mbk,0.0,0.0,0.157,-7.648,0.0,0.0514,129.979,4.0,https://api.spotify.com/v1/tracks/39Yp9wwQiSRIDOvrVg7mbk,audio_features,spotify:track:39Yp9wwQiSRIDOvrVg7mbk,0.28,97
11,Future,Life Is Good,hot-100,spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc,spotify:album:5uCEoLCj3ZZZ1EtzQdQWVl,,0.0706,https://api.spotify.com/v1/audio-analysis/5yY9lUy8nbvjM1Uyo1Uqoc,0.676,237735.0,0.609,5yY9lUy8nbvjM1Uyo1Uqoc,0.0,2.0,0.152,-5.831,0.0,0.481,142.037,4.0,https://api.spotify.com/v1/tracks/5yY9lUy8nbvjM1Uyo1Uqoc,audio_features,spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc,0.508,92
12,Drake,Chicago Freestyle,hot-100,spotify:track:4wVOKKEHUJxHCFFNUWDn0B,spotify:album:6OQ9gBfg5EXeNAEwGSs6jK,,0.629,https://api.spotify.com/v1/audio-analysis/4wVOKKEHUJxHCFFNUWDn0B,0.735,220488.0,0.449,4wVOKKEHUJxHCFFNUWDn0B,0.0,10.0,0.113,-7.507,1.0,0.347,122.947,4.0,https://api.spotify.com/v1/tracks/4wVOKKEHUJxHCFFNUWDn0B,audio_features,spotify:track:4wVOKKEHUJxHCFFNUWDn0B,0.0397,86
13,Maren Morris,The Bones,hot-100,spotify:track:1yTTMcUhL7rtz08Dsgb7Qb,spotify:album:6HzebUNgGlzC1AMBwHGIkH,,0.286,https://api.spotify.com/v1/audio-analysis/1yTTMcUhL7rtz08Dsgb7Qb,0.561,197299.0,0.597,1yTTMcUhL7rtz08Dsgb7Qb,0.0,11.0,0.0979,-6.0,0.0,0.0405,76.826,4.0,https://api.spotify.com/v1/tracks/1yTTMcUhL7rtz08Dsgb7Qb,audio_features,spotify:track:1yTTMcUhL7rtz08Dsgb7Qb,0.355,78
14,Camila Cabello,My Oh My,hot-100,spotify:track:3yOlyBJuViE2YSGn3nVE1K,spotify:album:3Vsbl0diFGw8HNSjG8ue9m,,0.018,https://api.spotify.com/v1/audio-analysis/3yOlyBJuViE2YSGn3nVE1K,0.724,170746.0,0.491,3yOlyBJuViE2YSGn3nVE1K,1.29e-05,8.0,0.0887,-6.024,1.0,0.0296,105.046,4.0,https://api.spotify.com/v1/tracks/3yOlyBJuViE2YSGn3nVE1K,audio_features,spotify:track:3yOlyBJuViE2YSGn3nVE1K,0.383,88
15,Billie Eilish,Everything I Wanted,hot-100,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,spotify:album:4i3rAwPw7Ln2YrKDusaWyT,,0.902,https://api.spotify.com/v1/audio-analysis/3ZCTVFBt2Brf31RLEnCkWJ,0.704,245426.0,0.225,3ZCTVFBt2Brf31RLEnCkWJ,0.657,6.0,0.106,-14.454,0.0,0.0994,120.006,4.0,https://api.spotify.com/v1/tracks/3ZCTVFBt2Brf31RLEnCkWJ,audio_features,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,0.243,91
16,Lewis Capaldi,Someone You Loved,hot-100,spotify:track:7qEHsqek33rTcFNT9PFqLf,spotify:album:5658aM19fA3JVwTK6eQX70,,0.751,https://api.spotify.com/v1/audio-analysis/7qEHsqek33rTcFNT9PFqLf,0.501,182161.0,0.405,7qEHsqek33rTcFNT9PFqLf,0.0,1.0,0.105,-5.679,1.0,0.0319,109.891,4.0,https://api.spotify.com/v1/tracks/7qEHsqek33rTcFNT9PFqLf,audio_features,spotify:track:7qEHsqek33rTcFNT9PFqLf,0.446,92
17,Future,D4L,hot-100,spotify:track:5fHrHoJKfCgBd35zwIBmUK,spotify:album:6OQ9gBfg5EXeNAEwGSs6jK,,0.0128,https://api.spotify.com/v1/audio-analysis/5fHrHoJKfCgBd35zwIBmUK,0.718,189176.0,0.706,5fHrHoJKfCgBd35zwIBmUK,0.0,1.0,0.352,-5.709,1.0,0.06,170.004,4.0,https://api.spotify.com/v1/tracks/5fHrHoJKfCgBd35zwIBmUK,audio_features,spotify:track:5fHrHoJKfCgBd35zwIBmUK,0.815,82
18,SAINt JHN,Roses (Imanbek Remix),hot-100,spotify:track:24Yi9hE78yPEbZ4kxyoXAI,spotify:album:3GqSdhWjmMypMwPLtzoFYs,,0.0167,https://api.spotify.com/v1/audio-analysis/24Yi9hE78yPEbZ4kxyoXAI,0.77,176840.0,0.724,24Yi9hE78yPEbZ4kxyoXAI,0.0107,8.0,0.353,-5.484,1.0,0.0495,121.975,4.0,https://api.spotify.com/v1/tracks/24Yi9hE78yPEbZ4kxyoXAI,audio_features,spotify:track:24Yi9hE78yPEbZ4kxyoXAI,0.898,97
19,Gabby Barrett,I Hope,hot-100,spotify:track:7ySPksJKRpoLlIaE31Yijc,spotify:album:68R4O2qkS0NACINdL0jpFu,,0.171,https://api.spotify.com/v1/audio-analysis/7ySPksJKRpoLlIaE31Yijc,0.554,209763.0,0.576,7ySPksJKRpoLlIaE31Yijc,0.0,6.0,0.159,-6.495,1.0,0.0399,74.942,4.0,https://api.spotify.com/v1/tracks/7ySPksJKRpoLlIaE31Yijc,audio_features,spotify:track:7ySPksJKRpoLlIaE31Yijc,0.409,65
20,Lil Mosey,Blueberry Faygo,hot-100,spotify:track:6wJYhPfqk3KGhHRG76WzOh,spotify:album:6rBennOYWR1OZQnsU39PKL,,0.207,https://api.spotify.com/v1/audio-analysis/6wJYhPfqk3KGhHRG76WzOh,0.774,162547.0,0.554,6wJYhPfqk3KGhHRG76WzOh,0.0,0.0,0.132,-7.909,1.0,0.0383,99.034,4.0,https://api.spotify.com/v1/tracks/6wJYhPfqk3KGhHRG76WzOh,audio_features,spotify:track:6wJYhPfqk3KGhHRG76WzOh,0.349,94
21,Morgan Wallen,Chasin' You,hot-100,spotify:track:5MwynWK9s4hlyKHqhkNn4A,spotify:album:1IR2nlwX6YVTXXeu2qzoWO,,0.657,https://api.spotify.com/v1/audio-analysis/5MwynWK9s4hlyKHqhkNn4A,0.631,205453.0,0.591,5MwynWK9s4hlyKHqhkNn4A,0.0,7.0,0.11,-5.785,1.0,0.0277,97.074,4.0,https://api.spotify.com/v1/tracks/5MwynWK9s4hlyKHqhkNn4A,audio_features,spotify:track:5MwynWK9s4hlyKHqhkNn4A,0.489,81
22,Blake Shelton Duet,Nobody But You,hot-100,spotify:track:5M8goiFYynmNxhueYW6grR,spotify:album:4Kd33JPxTOcjTM29FrKoyT,,0.111,https://api.spotify.com/v1/audio-analysis/5M8goiFYynmNxhueYW6grR,0.463,194867.0,0.653,5M8goiFYynmNxhueYW6grR,0.000136,0.0,0.172,-5.515,1.0,0.0273,143.912,4.0,https://api.spotify.com/v1/tracks/5M8goiFYynmNxhueYW6grR,audio_features,spotify:track:5M8goiFYynmNxhueYW6grR,0.233,77
23,Drake,Not You Too,hot-100,spotify:track:3Q4gttWQ6hxqWOa3tHoTNi,spotify:album:6OQ9gBfg5EXeNAEwGSs6jK,,0.342,https://api.spotify.com/v1/audio-analysis/3Q4gttWQ6hxqWOa3tHoTNi,0.458,269680.0,0.452,3Q4gttWQ6hxqWOa3tHoTNi,1.94e-05,9.0,0.0703,-9.299,0.0,0.047,86.318,4.0,https://api.spotify.com/v1/tracks/3Q4gttWQ6hxqWOa3tHoTNi,audio_features,spotify:track:3Q4gttWQ6hxqWOa3tHoTNi,0.316,81
