,artist,track,chart,tracks_uri,albums_uris
0,Doja Cat,Say So,hot-100,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,spotify:album:1MmVkhiwTH0BkNOU3nw5d3
1,Megan Thee Stallion,Savage,hot-100,spotify:track:55CHeLEfn5iJ0IIkgaa4si,spotify:album:6Lo6ylJg4qbFfxicPEOzMI
2,The Weeknd,Blinding Lights,hot-100,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,spotify:album:4yP0hdKOZPNshxUOjY0cZj
3,Drake,Toosie Slide,hot-100,spotify:track:127QTOFJsJQp5LbJbu3A1y,spotify:album:3xIwVbGJuAcovYIhzbLO3J
4,Roddy Ricch,The Box,hot-100,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,spotify:album:52u4anZbHd6UInnmHRFzba
5,Drake,Pain 1993,hot-100,spotify:track:6Kj17Afjo1OKJYpf5VzCeo,spotify:album:6OQ9gBfg5EXeNAEwGSs6jK
6,Post Malone,Circles,hot-100,spotify:track:21jGcNKet2qwijlDFuPiPb,spotify:album:4g1ZRSobMefqF6nelkgibi
7,DaBaby,Rockstar,hot-100,spotify:track:7ytR5pFWmSjzHJIeQkgog4,spotify:album:623PL2MBg50Br5dLXC9E9e
8,Justin Bieber,Intentions,hot-100,spotify:track:364dI1bYnvamSnBJ8JcNzN,spotify:album:55zg331p7m1EFA4uRggkwt
9,Harry Styles,Adore You,hot-100,spotify:track:1M4qEo4HE3PRaCOM7EXNJq,spotify:album:5SL9nXZYZZl68bHwaM8uLa
10,THE SCOTTS,The Scotts,hot-100,spotify:track:39Yp9wwQiSRIDOvrVg7mbk,spotify:album:7q6zjWaLw8bN5nYiBWjrus
11,Future,Life Is Good,hot-100,spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc,spotify:album:5uCEoLCj3ZZZ1EtzQdQWVl
12,Drake,Chicago Freestyle,hot-100,spotify:track:4wVOKKEHUJxHCFFNUWDn0B,spotify:album:6OQ9gBfg5EXeNAEwGSs6jK
13,Maren Morris,The Bones,hot-100,spotify:track:1yTTMcUhL7rtz08Dsgb7Qb,spotify:album:6HzebUNgGlzC1AMBwHGIkH
14,Camila Cabello,My Oh My,hot-100,spotify:track:3yOlyBJuViE2YSGn3nVE1K,spotify:album:3Vsbl0diFGw8HNSjG8ue9m
15,Billie Eilish,Everything I Wanted,hot-100,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,spotify:album:4i3rAwPw7Ln2YrKDusaWyT
16,Lewis Capaldi,Someone You Loved,hot-100,spotify:track:7qEHsqek33rTcFNT9PFqLf,spotify:album:5658aM19fA3JVwTK6eQX70
17,Future,D4L,hot-100,spotify:track:5fHrHoJKfCgBd35zwIBmUK,spotify:album:6OQ9gBfg5EXeNAEwGSs6jK
18,SAINt JHN,Roses (Imanbek Remix),hot-100,spotify:track:24Yi9hE78yPEbZ4kxyoXAI,spotify:album:3GqSdhWjmMypMwPLtzoFYs
19,Gabby Barrett,I Hope,hot-100,spotify:track:7ySPksJKRpoLlIaE31Yijc,spotify:album:68R4O2qkS0NACINdL0jpFu
20,Lil Mosey,Blueberry Faygo,hot-100,spotify:track:6wJYhPfqk3KGhHRG76WzOh,spotify:album:6rBennOYWR1OZQnsU39PKL
21,Morgan Wallen,Chasin' You,hot-100,spotify:track:5MwynWK9s4hlyKHqhkNn4A,spotify:album:1IR2nlwX6YVTXXeu2qzoWO
22,Blake Shelton Duet,Nobody But You,hot-100,spotify:track:5M8goiFYynmNxhueYW6grR,spotify:album:4Kd33JPxTOcjTM29FrKoyT
23,Drake,Not You Too,hot-100,spotify:track:3Q4gttWQ6hxqWOa3tHoTNi,spotify:album:6OQ9gBfg5EXeNAEwGSs6jK
24,Maroon 5,Memories,hot-100,spotify:track:2b8fOow8UzyDFAE27YhOZM,spotify:album:3nR9B40hYLKLcR0Eph3Goc
