chartmetric_artist_id,cpp_rank,spotify_popularity,spotify_followers,spotify_monthly_listeners,spotify_listeners_to_followers_ratio,facebook_likes,facebook_talks,youtube_channel_views,youtube_subscribers,wikipedia_views,soundcloud_followers
1351045,88949.0,32,5000,31209.0,6.2418,140504.0,186.0,,,,240.0
873401,22699.0,40,5000,54124.0,10.8248,,,,,2976.0,5250.0
857516,115112.0,27,5000,22151.0,4.4302,4291.0,32.0,,,18.0,
410148,289691.0,14,5000,1303.0,0.2606,,,,,,
299933,34569.0,46,5000,211220.0,42.244,1106.0,140.0,1259422.0,8400.0,,1651.0
237384,85063.0,33,5000,44694.0,8.9388,7930.0,164.0,,,,
99469,174688.0,22,5000,7925.0,1.585,2369.0,2.0,,,8.0,
35408,73366.0,36,5000,46886.0,9.3772,16880.0,143.0,6927.0,784.0,,28921.0
1627343,123003.0,20,5001,2544.0,0.5086982603,,,,,212.0,
1265872,44814.0,26,5001,6633.0,1.326334733,,,,,1380.0,
1098984,25153.0,30,5001,17596.0,3.5184963010000003,28345.0,996.0,382275.0,3820.0,2072.0,
825146,129763.0,20,5001,5827.0,1.165166967,,,,,149.0,
770005,9067.0,50,5001,345522.0,69.090581884,6925.0,134.0,,,6723.0,196.0
706340,154975.0,28,5001,12966.0,2.592681464,,,,,,
492867,38790.0,26,5001,6130.0,1.225754849,9478.0,127.0,,,1890.0,
429503,137764.0,55,5001,15164.0,3.032193561,69909.0,317.0,,,,331.0
341434,43461.0,39,5001,125099.0,25.014797040999998,56169.0,816.0,175654.0,511.0,15.0,47997.0
306266,197016.0,26,5001,5878.0,1.175364927,5630.0,4.0,,,,825.0
304667,175861.0,24,5001,7903.0,1.5802839430000002,,,,,1.0,15.0
1410946,140326.0,33,5002,16472.0,3.293082767,,,,,,
845727,233191.0,25,5002,3440.0,0.68772491,24591.0,106.0,,6.0,,
831385,155285.0,30,5002,11790.0,2.357057177,444650.0,24197.0,14443.0,228.0,5.0,
723939,87356.0,35,5002,38604.0,7.717712915,,,,,24.0,4809.0
531668,61253.0,38,5002,81377.0,16.268892443,1837.0,114.0,174707.0,1270.0,,569.0
479390,57148.0,28,5002,6126.0,1.224710116,1023.0,14.0,21487932.0,507000.0,77.0,
472727,150494.0,20,5002,3048.0,0.6093562575,5349.0,20.0,33913.0,487.0,104.0,
317586,134798.0,27,5002,14122.0,2.823270692,5761.0,7.0,,,,8320.0
171138,275999.0,11,5002,1327.0,0.2652938824,4937.0,0.0,,,13.0,1.0
3336347,59404.0,43,5003,94348.0,18.858285029,,,,,,
1721199,64066.0,43,5003,81894.0,16.368978613,,,,,,
1373588,50412.0,39,5003,92415.0,18.47191685,47626.0,4315.0,,,232.0,
786719,45616.0,30,5003,15770.0,3.152108735,395884.0,1175.0,52987080.0,295000.0,208.0,
635803,90113.0,32,5003,40670.0,8.129122526,,,,,7.0,
541835,27342.0,30,5003,23409.0,4.678992603999999,431.0,0.0,,,2359.0,
493443,295811.0,11,5003,1312.0,0.2622426544,3083.0,49.0,38177.0,316.0,,348.0
325156,108106.0,34,5003,22609.0,4.519088547,21693.0,468.0,,,48.0,5.0
9372,240762.0,15,5003,3039.0,0.6074355387,7059.0,3.0,,,4.0,95.0
695766,44204.0,13,5004,1032.0,0.206235012,10245.0,9.0,,,2265.0,
654356,89014.0,33,5004,38083.0,7.610511591,565.0,3.0,,,,10095.0
495653,10690.0,56,5004,752038.0,150.287370104,,,,,582.0,5446.0
475960,73253.0,42,5004,61183.0,12.226818545,,,,,,0.0
410132,272852.0,13,5004,1328.0,0.2653876898,9132.0,16.0,352039.0,2860.0,,373.0
203974,313023.0,23,5004,753.0,0.1504796163,,,,,,
189886,21083.0,8,5004,979.0,0.1956434852,,,,,7077.0,
126065,231635.0,9,5004,1022.0,0.2042366107,1718.0,5.0,,,58.0,
3401419,47341.0,48,5005,119059.0,23.788011988,,,878227.0,6550.0,,9377.0
1410812,127958.0,34,5005,17524.0,3.501298701,,,,,,49.0
776031,78000.0,40,5005,56118.0,11.212387612,,,,,,
277284,87688.0,32,5005,39243.0,7.8407592410000015,1714.0,3.0,,,21.0,21.0
225853,39360.0,44,5005,170871.0,34.14005994,1568.0,70.0,,,29.0,716.0
224264,190459.0,27,5005,7002.0,1.399000999,,,,,5.0,
216920,128327.0,41,5005,16316.0,3.25994006,5916.0,5.0,,,5.0,1669.0
209382,55068.0,38,5005,95544.0,19.08971029,6181.0,10.0,423623.0,2600.0,,4519.0
3538073,340705.0,16,5006,5.0,0.0009988014383,1014.0,,,,8.0,
510477,107117.0,32,5006,29024.0,5.797842589,,,,,,
498252,158505.0,26,5006,11079.0,2.213144227,22776.0,30.0,96613.0,3640.0,,1009.0
312698,174011.0,20,5006,4215.0,0.8419896125,13527.0,254.0,,,7.0,8272.0
198233,158107.0,26,5006,5263.0,1.051338394,202942.0,233.0,,,57.0,
147603,204332.0,20,5006,3549.0,0.7089492609,,,,,9.0,
85286,94334.0,32,5006,35130.0,7.017578905,46512.0,18.0,16896.0,32.0,1.0,
67590,57219.0,36,5006,93428.0,18.663204155,101.0,0.0,,,24.0,
756496,172318.0,23,5007,9758.0,1.94887158,18270.0,40.0,13576.0,518.0,,
745302,17245.0,55,5007,481958.0,96.25684042299999,4128.0,24.0,124444.0,2420.0,,1245.0
667676,33799.0,13,5007,117095.0,23.386259236999997,60340.0,174.0,,,1857.0,
570055,49376.0,44,5007,119475.0,23.861593769000002,,,272804.0,2050.0,15.0,
422913,30911.0,28,5007,8888.0,1.775114839,,,54976.0,1310.0,27.0,
90161,51578.0,39,5007,94443.0,18.86219293,,,,,231.0,
62146,122722.0,33,5007,20558.0,4.105851807,,,,,6.0,
3430911,387176.0,9,5008,38.0,0.007587859425,170.0,,,,,
3349788,110803.0,36,5008,26988.0,5.388977636,,,,,,
969205,22299.0,5,5008,525.0,0.1048322684,,,,,5080.0,
763734,216340.0,24,5008,4020.0,0.802715655,24080.0,557.0,,,3.0,
483542,229961.0,15,5008,2005.0,0.4003594249,1979.0,38.0,,,30.0,
251725,124957.0,29,5008,20055.0,4.004592652,,,,,7.0,
176301,73007.0,39,5008,59752.0,11.931309904,5497.0,5.0,,,,12604.0
85026,178135.0,21,5008,5318.0,1.061900958,15116.0,607.0,1042159.0,1900.0,23.0,895.0
82048,53563.0,42,5008,101654.0,20.298322684000002,3419.0,10.0,2237689.0,4400.0,,950.0
1674870,119133.0,33,5009,23886.0,4.76861649,,,,,,
492130,42307.0,42,5009,150925.0,30.130764624,4032.0,106.0,575751.0,3330.0,4.0,47.0
459402,7561.0,41,5009,115913.0,23.140946297,3825598.0,8545.0,,,9840.0,
420386,7998.0,59,5009,1161742.0,231.93092433599998,,,,,,
197488,69985.0,38,5009,61323.0,12.242563385999999,6485.0,3.0,26349.0,97.0,12.0,
130416,160209.0,24,5009,8659.0,1.728688361,3316.0,5.0,460973.0,,10.0,775.0
63181,63679.0,37,5009,68598.0,13.694949092,65432.0,41.0,,,33.0,15389.0
36558,267929.0,16,5009,2134.0,0.4260331403,4905.0,53.0,,,,11.0
1105536,68797.0,35,5010,36372.0,7.25988024,,,,,222.0,2969.0
648657,127585.0,30,5010,12722.0,2.539321357,,,323292.0,1520.0,45.0,
560709,70476.0,42,5010,65669.0,13.10758483,,,,,32.0,
452454,125235.0,36,5010,8591.0,1.714770459,3207.0,0.0,,,41.0,14098.0
433738,7416.0,60,5010,1068065.0,213.18662674700002,,,,,1273.0,
