cm_artist,artist_name,spotify_artist_id,itunes_artist_id,deezer_artist_id
3647647,Rsonist-Heatmakerz,7mgL1vaDbPZRlLh7GtI7sZ,,
3647605,The Honest Mistakes,6HnLzeQPYWk0C4HtUoT4Tw,,
3647555,4r7,7J240sXf2pOa3IrpWz23m8,,
3647537,Y.Done,3joNKs5y3StW3xhsVgBTbZ,,
3647497,Mateo Albeniz,1RQtNOJUrbjUapNeJ6gbID,,
3596891,Brian Saccente,2NYl3KTcoAsr6mUcPC46F0,,
3596833,Zach Garner,5fbsWj3QAClR6R1lWG35qL,,
3596821,Yan-X,0CPfTZDhU8y9OTlHOpvLi4,,
3596820,L' Ange Noir,1XIe1RhC6w7x81a86xN7FN,,
3596816,Yaedi Mabungu,1fJbTEN8RSWYNRb6GS5RDP,,
3596815,Junior Maestro,5EYU4impVUeznXHLaOm1Ak,,
3596814,jo dalton,69mXX4vcQJzlCQhu25tAA7,,
3596813,Mélodieuz,5tLvH5qZ114bgtAoe6Nxi5,,
3596812,Daadjeff,2O2GGP0tBVBuN1G2pEUHvn,,
3596810,Teksoul,6KPjHYn8zh0zqePpDSWbBa,,
3596799,Fargo,4OGUaY8oYzM8sKwj8zWxUJ,,
3596676,Marty Byrne,1esWkDQiqz9IKBtxOakp7D,,
3596612,Rob Rufus,74XrdqxPgHG6f52btB1q6s,,
3596599,Easa Kain,3rRzSgwRU6PQV6J0V1bcNW,,
3596575,Fatma,7ah7uP4Dz80lyMrFzt67eR,,
3596566,Dukal,0L35O7Gvaoq61LRB2r85op,,
3596552,Tae Wilson,4OSoYN9v7ArI9p9cCuEOQt,,
3596546,Midda Mac,2UWQBU9VRTNceYFCeKIMr6,,
3596532,Donbeom Kim,0dHENO3SmNR0AUO9SoYjQw,,
3596507,Angus Grove,0E2uBetGBqdjRyv6I7PVVL,,
3596481,Ziggers,3XxcuSjkLO60HGGCd4PL4G,,
3596474,Donn Bell,3Qu6fveoX97HCRXSczU7RO,,
3596461,Pierce Jordan,15BKwsF5TmXyUWOKz8VU3A,,
3596443,Deiquisitor,53EAV59bTI6fbtFNPt9h02,,
3596442,Exanthema,6LCLtveP3tJEzcXnpQNghH,,
3596441,Fuil na Seanchoille,2sRBobIiPYau9iurllX59a,,
3596440,G.A.T.E.S.,5wf3F50apIyNKhAyzDR33I,,
3596439,Lulu Wolf,2KvdPpz8W64Hwxg3Xwz7II,,
3596437,Sonic Poison,6EtK7Naufz8Y7m69t6hCNq,,
3596436,Ghastly,3Eg0ukqEG5qJyN0qv87jGL,,
3596431,Dj Illogik,46z6B9S7StYvf7B87JFJwF,,
3596424,J4y,7t0Bl6fxINBso2z8WbBVjm,,
3596420,Trendy Coffeehouse Society,0iMn82jp68VXUi7h2c4N2l,,
3596415,Leradee,7c7isW7qaN56FgIbFpZfMl,,
3596400,plazmic,5YtceBfbIZ0cVWUk3tQNe7,,
3596399,Louis Carmean,1QwlGpVweCXIFnSKj4EtVj,,
3596383,Aary,2pdllvq331PqKOfvK2wX6A,,
3596369,Arctic Rain,01M70kGwZJS4rAErltjOBp,,
3596359,Barbara Ebel,7J6F6YcOrBr59Uktcux2lI,,
3596357,Ute Rek,5rX3VQjpfDTsor5DSIXzp0,,
3596354,Bülent Kullukcu,5qg7mcsN1lTtjCd3V4SdB7,,
3596353,Cas Gevers,641OfgJ9iXlTP4LlNMbEtJ,,
3596301,Rach Percu,1tEIQ9Pk90OQDPwb3LH08Q,,
3596297,Florio Carlo,5ZULWMxcAKECG7yKEUvpje,,
3596286,Malaki 3D,08jd1nM6jjdrr4hYPPejIU,,
3596275,Faustrix,4As2URetug1bCn4qvwmbqj,,
